CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
5237; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
5240; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 6 
5250; -   ; -   ; 1 ; -   ; 1 ; 6 ; 4 ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 15 
5148; -   ; -   ; -   ; -   ; 1 ; 6 ; 5 ; 3 ; -   ; 2 ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; 1 ; -   ; 22 
5697; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 6 
5266; -   ; -   ; -   ; -   ; -   ; 3 ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
5282; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
5284; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 7 
5306; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5308; -   ; -   ; -   ; -   ; 1 ; 1 ; 3 ; 2 ; 1 ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; 12 
5310; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
5315; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
5318; -   ; -   ; -   ; -   ; -   ; 3 ; 3 ; 1 ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 9 
5321; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 3 
5347; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
5353; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 4 
5360; -   ; -   ; -   ; 3 ; 2 ; 12 ; 13 ; 3 ; 4 ; 2 ; 4 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 45 
5361; -   ; -   ; 1 ; 2 ; 4 ; 12 ; 13 ; 3 ; 8 ; 3 ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; 49 
