CÓDIGOS DIVIPOLA;(00 a 04);(05 a 09);(10 a 14);(15 a 17);(18 a 19);(20 a 24);(25 a 29);(30 a 34);(35 a 39);(40 a 44);(45 a 49);(50 a 54);(55 a 59);(60 a 64);(65 a 69);(70 a 74);(75 a 79);(80 y más);TOTAL
13473; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13490; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
13600; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
13650; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13654; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
13655; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13657; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 
13667; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 4 
13670; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 9 
13673; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
13683; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
13688; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 3 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
13744; -   ; -   ; -   ; -   ; -   ; 1 ; 3 ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 8 
13760; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
13780; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 3 
13810; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
13836; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; 1 ; 2 ; -   ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 11 
13838; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
13873; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
13894; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
15047; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 3 
15131; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15176; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
15183; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15236; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15204; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
15238; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 5 
15244; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
15296; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15322; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15325; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15332; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15367; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15480; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15491; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15507; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15531; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 
15572; -   ; -   ; -   ; -   ; 3 ; 2 ; 3 ; 2 ; 3 ; 1 ; -   ; 1 ; 2 ; -   ; -   ; -   ; -   ; 1 ; 18 
15580; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
15646; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
15667; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15757; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 
15759; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
15764; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
15806; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
15001; -   ; 2 ; -   ; -   ; 1 ; -   ; -   ; 1 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 8 
15832; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15839; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
15842; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
17013; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
17042; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 4 
17088; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 5 
17174; -   ; -   ; -   ; -   ; -   ; 3 ; 6 ; 1 ; 3 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 15 
17272; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
17380; -   ; -   ; -   ; 1 ; 2 ; -   ; 3 ; 2 ; -   ; 2 ; -   ; 4 ; 1 ; -   ; -   ; -   ; -   ; -   ; 15 
17001; -   ; -   ; -   ; 3 ; 3 ; 8 ; 13 ; 3 ; 4 ; 4 ; 1 ; 1 ; -   ; 1 ; 3 ; 1 ; -   ; -   ; 45 
17442; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
17444; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 3 
17446; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
17486; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; 1 ; 2 ; 1 ; -   ; -   ; 3 ; -   ; -   ; -   ; -   ; 10 
17495; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
17524; -   ; -   ; -   ; -   ; -   ; 2 ; 3 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; 7 
17614; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
17616; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
17653; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
17662; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 2 ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 7 
17777; -   ; -   ; -   ; 2 ; -   ; 3 ; 2 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
17867; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
17873; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 2 
17877; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
18029; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; 5 
18094; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 6 
18150; -   ; -   ; -   ; -   ; -   ; 3 ; 6 ; 1 ; 1 ; 2 ; 3 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 18 
18205; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
18247; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 4 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 9 
18256; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 3 
18001; -   ; -   ; -   ; -   ; 3 ; 8 ; 9 ; 7 ; 6 ; 3 ; 1 ; 1 ; 3 ; -   ; 1 ; -   ; -   ; -   ; 42 
18460; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
18479; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
18592; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; 2 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 9 
18610; -   ; -   ; -   ; -   ; -   ; 1 ; 3 ; 1 ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 8 
18753; -   ; -   ; -   ; 1 ; 2 ; 5 ; 3 ; 3 ; 4 ; 4 ; 2 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; 26 
18756; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 3 
18785; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
85010; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
85125; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 
85139; -   ; -   ; -   ; -   ; -   ; 3 ; 1 ; 1 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
85162; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; 4 
85225; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
85230; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
85250; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
85300; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
85315; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
85325; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
85400; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
85410; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
85430; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
85440; -   ; -   ; 2 ; -   ; -   ; 5 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 11 
85001; 3 ; -   ; 1 ; -   ; -   ; 14 ; 9 ; 1 ; 3 ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 37 
19022; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 5 
19050; -   ; -   ; 2 ; 4 ; 3 ; 19 ; 16 ; 10 ; 9 ; 3 ; 6 ; 2 ; 2 ; 2 ; -   ; -   ; -   ; -   ; 78 
19075; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 2 ; 2 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 9 
19100; -   ; -   ; 2 ; -   ; -   ; -   ; 5 ; 4 ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 14 
19110; -   ; -   ; -   ; 1 ; 3 ; 7 ; 6 ; 4 ; 1 ; 6 ; 2 ; 3 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 36 
19130; -   ; 1 ; -   ; -   ; 1 ; 2 ; 4 ; 6 ; 2 ; 4 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 21 
19137; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; -   ; 2 ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; -   ; -   ; 7 
19142; -   ; -   ; 1 ; 3 ; 2 ; 7 ; 5 ; 6 ; 4 ; 4 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 33 
19212; -   ; -   ; -   ; 6 ; 2 ; 8 ; 6 ; 12 ; 5 ; 2 ; 1 ; 4 ; 1 ; -   ; -   ; 1 ; -   ; -   ; 48 
19256; 1 ; -   ; -   ; 1 ; 2 ; 9 ; 17 ; 10 ; 10 ; 6 ; 5 ; 7 ; 3 ; -   ; -   ; -   ; -   ; -   ; 71 
19300; -   ; -   ; -   ; -   ; -   ; 4 ; 3 ; 1 ; 1 ; -   ; -   ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; 11 
19318; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19355; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19364; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19392; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19397; 1 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
19418; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; 5 
19450; -   ; -   ; -   ; 1 ; -   ; 3 ; 4 ; 2 ; 1 ; 1 ; 3 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 17 
19455; -   ; -   ; -   ; 1 ; 2 ; 4 ; 6 ; 2 ; 7 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 23 
19473; -   ; -   ; -   ; 2 ; 1 ; 3 ; 3 ; 1 ; -   ; 2 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; 14 
19513; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 2 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 5 
19517; 1 ; -   ; 1 ; -   ; -   ; -   ; 2 ; -   ; 1 ; 2 ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 9 
19532; -   ; -   ; -   ; -   ; 1 ; 4 ; 3 ; 4 ; 3 ; 3 ; 2 ; -   ; 2 ; 1 ; -   ; -   ; -   ; 1 ; 24 
19533; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
19548; -   ; -   ; -   ; -   ; 2 ; 4 ; 2 ; 4 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 14 
19001; 2 ; -   ; -   ; -   ; 3 ; 7 ; 16 ; 16 ; 12 ; 6 ; 3 ; 5 ; 3 ; 1 ; -   ; -   ; 1 ; -   ; 75 
19573; -   ; -   ; 1 ; 2 ; 6 ; 13 ; 8 ; 3 ; 4 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 39 
19585; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19622; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; 6 
19701; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
19698; -   ; -   ; -   ; 7 ; 6 ; 20 ; 17 ; 12 ; 7 ; 6 ; 8 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; 86 
19780; 1 ; 1 ; -   ; -   ; 2 ; 5 ; 5 ; 6 ; 5 ; 2 ; 3 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; 33 
19807; -   ; -   ; -   ; -   ; 2 ; 1 ; 2 ; -   ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 10 
19809; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 5 
19821; -   ; -   ; 1 ; -   ; 2 ; 2 ; 3 ; 6 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 15 
19824; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
19845; -   ; -   ; 1 ; -   ; 1 ; 3 ; 1 ; 2 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 12 
20011; -   ; -   ; 1 ; 1 ; 3 ; 4 ; 1 ; 2 ; 1 ; 3 ; -   ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; 20 
20013; -   ; -   ; -   ; 2 ; 1 ; 2 ; 5 ; 3 ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 16 
20032; -   ; -   ; -   ; -   ; 2 ; -   ; 1 ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
20045; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20060; -   ; -   ; -   ; -   ; 3 ; 1 ; -   ; 2 ; 2 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; 11 
20175; 1 ; -   ; 1 ; -   ; -   ; -   ; 2 ; 1 ; 2 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
20178; -   ; -   ; 1 ; -   ; -   ; 3 ; -   ; 3 ; 1 ; -   ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 10 
20228; -   ; -   ; -   ; -   ; 1 ; -   ; 3 ; -   ; 1 ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; -   ; -   ; 8 
20238; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
20250; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 2 ; 1 ; 2 ; -   ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; 11 
20295; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
20310; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 
20383; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 2 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
20400; -   ; -   ; -   ; -   ; -   ; 2 ; -   ; 3 ; 1 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 8 
20621; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 3 
20443; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; 2 
20517; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 6 
20550; -   ; -   ; -   ; 1 ; -   ; 2 ; -   ; 1 ; 1 ; 1 ; -   ; 1 ; 1 ; 2 ; -   ; -   ; -   ; -   ; 10 
20570; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
20614; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
20710; -   ; -   ; -   ; -   ; -   ; 1 ; 2 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20750; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 1 
20770; -   ; -   ; -   ; -   ; -   ; -   ; 3 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20787; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
20001; 2 ; -   ; -   ; -   ; 6 ; 9 ; 14 ; 15 ; 6 ; 3 ; 4 ; 2 ; 1 ; 1 ; -   ; -   ; -   ; -   ; 63 
27006; -   ; -   ; -   ; 1 ; 1 ; 1 ; 1 ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 5 
27050; -   ; -   ; -   ; -   ; -   ; -   ; 2 ; 2 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 4 
27075; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 2 
27099; -   ; -   ; -   ; -   ; -   ; -   ; 1 ; 1 ; 1 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 3 
27150; -   ; -   ; -   ; -   ; -   ; 1 ; -   ; -   ; 1 ; 1 ; -   ; 1 ; -   ; -   ; 1 ; -   ; -   ; -   ; 5 
