 DIVIPOLA,"EXÁMENES MÉDICO LEGALES POR PRESUNTO DELITO SEXUAL EN COLOMBIA AÑO 2020

CASOS Y TASAS X 100.00 HABITANTES",PRESUNTO DELITO SEXUAL (CASOS),PRESUNTO DELITO SEXUAL (CASOS).1,PRESUNTO DELITO SEXUAL (CASOS).2,PRESUNTO DELITO SEXUAL (CASOS).3,PRESUNTO DELITO SEXUAL (CASOS).4,PRESUNTO DELITO SEXUAL (CASOS).5,PRESUNTO DELITO SEXUAL (CASOS).6,PRESUNTO DELITO SEXUAL (TASAS),PRESUNTO DELITO SEXUAL (TASAS).1,PRESUNTO DELITO SEXUAL (TASAS).2,PRESUNTO DELITO SEXUAL (TASAS).3,PRESUNTO DELITO SEXUAL (TASAS).4,PRESUNTO DELITO SEXUAL (TASAS).5,PRESUNTO DELITO SEXUAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
91,Amazonas,4,1,5,67,6,73,78,22.985863693828296,4.231371387466678,12.184720360667722,408.6362527445719,27.791931076010933,192.18112412794525,98.70918754745634
91001,Leticia,4,1,5,66,6,72,77,39.10450679440805,6.554368486596317,19.618614141097073,679.8516687268232,41.25696211235646,296.89497340315864,154.81432334077246
91540,Puerto Nariño,-,-,-,1,-,1,1,0,0,0,42.5531914893617,0,20.449897750511248,9.76657876745776
5,Antioquia,289,23,312,1257,288,1545,1857,32.93192094515753,0.9785376902936719,9.665385590025322,149.69792459368983,11.03353159210413,44.78369908136894,27.808018352992615
5002,Abejorral,3,-,3,12,-,12,15,107.87486515641855,0,28.414472437961734,471.6981132075471,0,123.34258402713536,73.93897569872333
5030,Amagá,3,-,3,10,3,13,16,76.18080243778569,0,19.50331556364582,264.06126221283336,24.764735017335312,81.75586441104333,51.14598983473452
5031,Amalfi,1,-,1,10,2,12,13,22.763487366264513,0,7.367567965814485,238.09523809523813,21.510002151000215,88.90205956437991,48.02186842008053
5034,Andes,4,-,4,14,5,19,23,64.966704563911,0,17.464198393293746,250.58170753534992,31.830914183855363,89.22282225874618,52.037376411231016
5040,Anorí,2,-,2,13,1,14,16,56.529112492933855,0,20.016012810248196,387.0199464126228,17.382235355466715,153.64354697102723,83.75209380234506
5044,Anzá,4,-,4,6,-,6,10,330.3055326176713,0,108.13733441470669,547.945205479452,0,172.9106628242075,139.48946854512485
5045,Apartadó,-,1,1,7,4,11,12,0,2.45893577259762,1.6007683688170322,33.639290691527705,8.995839424266276,16.852039096730707,9.3937875751503
5051,Arboletes,1,-,1,2,-,2,3,16.644474034620508,0,6.545359340227778,36.251586006887806,0,13.130252100840336,9.83284169124877
5055,Argelia,-,-,-,-,1,1,1,0,0,0,0,39.55696202531645,27.329871549603716,13.25381047051027
5059,Armenia,2,-,2,-,1,1,3,339.5585738539898,0,79.1139240506329,0,51.54639175257732,39.27729772191673,59.124950729207725
5079,Barbosa,4,1,5,15,4,19,24,60.65200909780137,4.901480247034604,18.520576360336335,234.7417840375587,19.083969465648856,69.46983546617916,44.16067124220288
5088,Bello,25,2,27,64,14,78,105,37.13330857779428,1.00559108644061,10.142254510485964,98.52368417001493,6.335357630938266,27.278354625604585,19.016433820999215
5086,Belmira,-,-,-,1,-,1,1,0,0,0,101.7293997965412,0,33.01419610432486,16.350555918901243
5091,Betania,4,-,4,4,1,5,9,249.53212726138491,0,74.90636704119851,259.40337224383916,29.394473838918284,101.13268608414239,87.51458576429405
5093,Betulia,6,-,6,7,1,8,14,223.2142857142857,0,73.83706620723603,279.6644027167399,18.98614011771407,102.96010296010296,88.07247106190236
5107,Briceño,-,-,-,10,-,10,10,0,0,0,708.7172218284904,0,257.99793601651186,123.15270935960591
5113,Buriticá,-,-,-,1,-,1,1,0,0,0,60.86427267194157,0,21.649707728945657,10.379904504878557
5120,Cáceres,-,-,-,6,-,6,6,0,0,0,100.85728693898135,0,41.245617653124356,19.76544999341152
5129,Caldas,2,-,2,17,4,21,23,22.665457842248415,0,5.016302984700276,197.192901055562,11.450818733539448,48.21711477969371,27.57033432027139
5134,Campamento,-,-,-,6,-,6,6,0,0,0,388.8528839922229,0,134.19816595839856,64.91398896462188
5138,Cañasgordas,4,-,4,7,-,7,11,169.99575010624733,0,51.02691669855849,297.23991507431,0,90.75586671852716,70.73045267489712
5147,Carepa,-,-,-,1,-,1,1,0,0,0,11.081560283687944,0,3.89211069162807,1.9553018008329586
5150,Carolina,1,-,1,3,-,3,4,238.09523809523813,0,51.04645227156713,779.2207792207793,0,149.03129657228018,100.70493454179255
5154,Caucasia,2,-,2,16,5,21,23,11.682242990654206,0,4.313970794417722,96.22902507968966,15.413545423718363,42.79949455834998,24.10219329959026
5172,Chigorodó,-,1,1,6,2,8,9,0,5.618924537843457,3.464043231259526,56.60911406736484,9.818842358485934,25.833118057349523,15.041112373821779
