 DIVIPOLA,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA DE PAREJA (CASOS),TOTAL/HOMBRE/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA DE PAREJA (CASOS),TOTAL/MUJER/VIOLENCIA DE PAREJA (CASOS),/TOTAL/VIOLENCIA DE PAREJA (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA DE PAREJA (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA DE PAREJA (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA DE PAREJA (TASAS)
91,Amazonas,0.0,12.0,12.0,0.0,81.0,81.0,93.0,0.0,50.776456649600135,38.468936333910364,0.0,375.1910695261476,283.3554887007626,155.57042489126798
91405,La Chorrera,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,177.3049645390071,111.35857461024499,48.216007714561236
91001,Leticia,0.0,12.0,12.0,0.0,80.0,80.0,92.0,0.0,78.6524218391558,61.10913072261547,0.0,550.0928281647527,427.87612986040546,239.99582615954503
5,Antioquia,1.0,452.0,453.0,83.0,2717.0,2800.0,3253.0,0.24872033388217618,19.23039287011912,16.457741750784013,21.51803237037978,104.09064352689902,93.45956605388345,56.58914782623218
5002,Abejorral,0.0,2.0,2.0,1.0,4.0,5.0,7.0,0.0,25.716857400025717,21.81976871045167,82.91873963515755,55.67153792623522,59.587653438207596,39.87013726718688
5030,Amagá,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,57.784381707115735,50.377833753148614,25.75328354365182
5031,Amalfi,0.0,4.0,4.0,0.0,16.0,16.0,20.0,0.0,43.57298474945534,35.57136505113384,0.0,172.08001720800172,141.718334809566,88.75083203905037
5034,Andes,0.0,3.0,3.0,1.0,34.0,35.0,38.0,0.0,17.91365617722577,15.337423312883436,38.940809968847354,216.45021645021646,191.50798861895382,100.43344962469605
5036,Angelópolis,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,46.18937644341801,39.541320680110715,19.908421262193908
5038,Angostura,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,25.367833587011667,20.999580008399832,10.46134532900931
5040,Anorí,0.0,1.0,1.0,1.0,10.0,11.0,12.0,0.0,15.49426712116517,12.442453651860149,70.97232079489,173.82235355466713,153.58838313320302,78.95256266859661
5044,Anzá,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,40.19292604501608,33.057851239669425,0.0,42.10526315789474,34.73428273706148,33.87533875338753
5045,Apartadó,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,22.48959856066569,18.536711958032885,9.584143992179339
5059,Armenia,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,103.09278350515464,90.62075215224287,45.248868778280546
5079,Barbosa,0.0,5.0,5.0,1.0,36.0,37.0,42.0,0.0,24.507401235173024,21.199016365640635,33.06878306878307,171.75572519083968,154.26951300867245,88.2909396678579
5088,Bello,0.0,34.0,34.0,4.0,209.0,213.0,247.0,0.0,17.095048469490365,14.792899408284024,13.149676189223841,94.57783891900698,84.72519997931592,51.325635180709874
5086,Belmira,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,97.75171065493646,79.52286282306163,39.33910306845004
5091,Betania,0.0,3.0,3.0,0.0,9.0,9.0,12.0,0.0,80.27829810008028,66.83002895967921,0.0,264.55026455026456,217.23388848660392,139.01760889712696
5093,Betulia,0.0,2.0,2.0,1.0,8.0,9.0,11.0,0.0,36.77822728944465,29.976019184652277,87.1839581517001,151.88912094171255,140.3180542563143,84.0593000152835
5107,Briceño,0.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,283.97565922920893,229.13256955810147,108.66190624029804
5120,Cáceres,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,11.630611770179112,9.09008271975275,4.354452427607228
5129,Caldas,0.0,10.0,10.0,3.0,37.0,40.0,50.0,0.0,32.2102686336404,28.380065841752753,71.92519779429394,105.9200732852399,102.29394164130629,67.25944658927347
5134,Campamento,0.0,1.0,1.0,1.0,5.0,6.0,7.0,0.0,32.637075718015666,25.680534155110426,142.2475106685633,170.76502732240436,165.24373450839988,93.0232558139535
5138,Cañasgordas,0.0,1.0,1.0,1.0,17.0,18.0,19.0,0.0,18.22821728034998,15.229972586049346,91.74311926605505,317.28256812243376,279.1563275434243,145.99661902566467
5150,Carolina,0.0,2.0,2.0,1.0,5.0,6.0,8.0,0.0,129.9545159194282,114.09013120365087,490.19607843137254,307.12530712530713,327.51091703056767,223.15202231520223
