Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
ACTUALIZACIÓN POST COVID-19. PROYECCIONES DE POBLACIÓN MUNICIPAL POR ÁREA.,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN A NIVEL MUNICIPAL. PERIODO 2020 - 2035.,,,,,,
,,,,,,
,,,,,,
,,,,,,
DP,DPNOM,MPIO,DPMP,AÑO,ÁREA GEOGRÁFICA,Población
05,Antioquia,05002,Abejorral,2030,Cabecera Municipal,9798
05,Antioquia,05002,Abejorral,2030,Centros Poblados y Rural Disperso,12404
05,Antioquia,05002,Abejorral,2030,Total,22202
05,Antioquia,05002,Abejorral,2031,Cabecera Municipal,9834
05,Antioquia,05002,Abejorral,2031,Centros Poblados y Rural Disperso,12461
05,Antioquia,05002,Abejorral,2031,Total,22295
05,Antioquia,05002,Abejorral,2032,Cabecera Municipal,9880
05,Antioquia,05002,Abejorral,2032,Centros Poblados y Rural Disperso,12522
05,Antioquia,05002,Abejorral,2032,Total,22402
05,Antioquia,05002,Abejorral,2033,Cabecera Municipal,9905
05,Antioquia,05002,Abejorral,2033,Centros Poblados y Rural Disperso,12586
05,Antioquia,05002,Abejorral,2033,Total,22491
05,Antioquia,05002,Abejorral,2034,Cabecera Municipal,9925
05,Antioquia,05002,Abejorral,2034,Centros Poblados y Rural Disperso,12659
05,Antioquia,05002,Abejorral,2034,Total,22584
05,Antioquia,05002,Abejorral,2035,Cabecera Municipal,9960
05,Antioquia,05002,Abejorral,2035,Centros Poblados y Rural Disperso,12705
05,Antioquia,05002,Abejorral,2035,Total,22665
05,Antioquia,05004,Abriaquí,2020,Cabecera Municipal,859
05,Antioquia,05004,Abriaquí,2020,Centros Poblados y Rural Disperso,1916
05,Antioquia,05004,Abriaquí,2020,Total,2775
05,Antioquia,05004,Abriaquí,2021,Cabecera Municipal,904
05,Antioquia,05004,Abriaquí,2021,Centros Poblados y Rural Disperso,1873
05,Antioquia,05004,Abriaquí,2021,Total,2777
05,Antioquia,05004,Abriaquí,2022,Cabecera Municipal,948
05,Antioquia,05004,Abriaquí,2022,Centros Poblados y Rural Disperso,1856
05,Antioquia,05004,Abriaquí,2022,Total,2804
05,Antioquia,05004,Abriaquí,2023,Cabecera Municipal,992
05,Antioquia,05004,Abriaquí,2023,Centros Poblados y Rural Disperso,1849
05,Antioquia,05004,Abriaquí,2023,Total,2841
05,Antioquia,05004,Abriaquí,2024,Cabecera Municipal,999
05,Antioquia,05004,Abriaquí,2024,Centros Poblados y Rural Disperso,1856
05,Antioquia,05004,Abriaquí,2024,Total,2855
05,Antioquia,05004,Abriaquí,2025,Cabecera Municipal,1029
05,Antioquia,05004,Abriaquí,2025,Centros Poblados y Rural Disperso,1843
05,Antioquia,05004,Abriaquí,2025,Total,2872
05,Antioquia,05004,Abriaquí,2026,Cabecera Municipal,1041
05,Antioquia,05004,Abriaquí,2026,Centros Poblados y Rural Disperso,1862
05,Antioquia,05004,Abriaquí,2026,Total,2903
05,Antioquia,05004,Abriaquí,2027,Cabecera Municipal,1055
05,Antioquia,05004,Abriaquí,2027,Centros Poblados y Rural Disperso,1864
05,Antioquia,05004,Abriaquí,2027,Total,2919
05,Antioquia,05004,Abriaquí,2028,Cabecera Municipal,1067
05,Antioquia,05004,Abriaquí,2028,Centros Poblados y Rural Disperso,1869
05,Antioquia,05004,Abriaquí,2028,Total,2936
05,Antioquia,05004,Abriaquí,2029,Cabecera Municipal,1080
05,Antioquia,05004,Abriaquí,2029,Centros Poblados y Rural Disperso,1871
05,Antioquia,05004,Abriaquí,2029,Total,2951
05,Antioquia,05004,Abriaquí,2030,Cabecera Municipal,1077
05,Antioquia,05004,Abriaquí,2030,Centros Poblados y Rural Disperso,1890
05,Antioquia,05004,Abriaquí,2030,Total,2967
05,Antioquia,05004,Abriaquí,2031,Cabecera Municipal,1085
