NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL VIOLENCIA INTRAFAMILIAR,TOTAL VIOLENCIA INTRAFAMILIAR.1,TOTAL VIOLENCIA INTRAFAMILIAR.2,TOTAL VIOLENCIA INTRAFAMILIAR.3,TOTAL VIOLENCIA INTRAFAMILIAR.4,TOTAL VIOLENCIA INTRAFAMILIAR.5,TOTAL VIOLENCIA INTRAFAMILIAR.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
15494,Nuevo Colón,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
15500,Oicatá,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
15516,Paipa,2,-,2,-,-,-,2,-,4,4,-,2,2,6,-,-,-,-,-,-,-,2,4,6,-,2,2,8
15537,Paz de Río,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
15542,Pesca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
15572,Puerto Boyacá,1,-,1,3,-,3,4,-,5,5,-,10,10,15,-,-,-,-,-,-,-,1,5,6,3,10,13,19
15599,Ramiriquí,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
15632,Saboyá,2,-,2,2,-,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2,-,2,4
15646,Samacá,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
15660,San Eduardo,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15664,San José de Pare,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
15667,San Luis de Gaceno,1,-,1,-,-,-,1,-,1,1,-,2,2,3,-,-,-,-,-,-,-,1,1,2,-,2,2,4
15681,San Pablo de Borbur,5,-,5,1,-,1,6,-,-,-,-,1,1,1,-,-,-,-,-,-,-,5,-,5,1,1,2,7
15693,Santa Rosa de Viterbo,2,-,2,-,-,-,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,2,-,2,-,1,1,3
15686,Santana,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,-,2,2,3
15757,Socha,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15755,Socotá,-,-,-,-,-,-,-,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,-,3,3,3
15759,Sogamoso,12,-,12,17,-,17,29,-,28,28,-,40,40,68,-,5,5,-,6,6,11,12,33,45,17,46,63,108
15762,Sora,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
15764,Soracá,2,-,2,4,-,4,6,-,3,3,-,3,3,6,-,-,-,-,-,-,-,2,3,5,4,3,7,12
15763,Sotaquirá,1,-,1,-,-,-,1,-,3,3,-,3,3,6,-,-,-,-,-,-,-,1,3,4,-,3,3,7
15778,Sutatenza,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2
15804,Tibaná,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15806,Tibasosa,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
15814,Toca,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
15816,Togüí,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
15820,Tópaga,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
15001,Tunja,27,-,27,31,-,31,58,-,58,58,-,99,99,157,-,5,5,-,5,5,10,27,63,90,31,104,135,225
15837,Tuta,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
15842,Úmbita,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
15407,Villa de Leyva,-,-,-,1,-,1,1,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,3,3,1,1,2,5
15879,Viracachá,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
17,Caldas,14,-,14,43,-,43,57,-,32,32,-,51,51,83,-,1,1,-,2,2,3,14,33,47,43,53,96,143
17013,Aguadas,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
17042,Anserma,2,-,2,1,-,1,3,-,4,4,-,7,7,11,-,-,-,-,-,-,-,2,4,6,1,7,8,14
17050,Aranzazu,1,-,1,1,-,1,2,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,1,-,1,3
17088,Belalcázar,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
17174,Chinchiná,-,-,-,1,-,1,1,-,1,1,-,3,3,4,-,-,-,-,-,-,-,-,1,1,1,3,4,5
17380,La Dorada,1,-,1,6,-,6,7,-,2,2,-,5,5,7,-,-,-,-,-,-,-,1,2,3,6,5,11,14
17001,Manizales,7,-,7,26,-,26,33,-,13,13,-,22,22,35,-,1,1,-,1,1,2,7,14,21,26,23,49,70
17495,Norcasia,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
17524,Palestina,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,-,-,-,1,3,4,4
17541,Pensilvania,-,-,-,-,-,-,-,-,2,2,-,-,-,2,-,-,-,-,-,-,-,-,2,2,-,-,-,2
17614,Riosucio,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
17616,Risaralda,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2
17653,Salamina,1,-,1,2,-,2,3,-,3,3,-,-,-,3,-,-,-,-,1,1,1,1,3,4,2,1,3,7
17777,Supía,1,-,1,-,-,-,1,-,-,-,-,5,5,5,-,-,-,-,-,-,-,1,-,1,-,5,5,6
17867,Victoria,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
17873,Villamaría,-,-,-,3,-,3,3,-,2,2,-,4,4,6,-,-,-,-,-,-,-,-,2,2,3,4,7,9
18,Caquetá,4,-,4,14,-,14,18,-,9,9,-,33,33,42,-,1,1,-,2,2,3,4,10,14,14,35,49,63
18150,Cartagena del Chairá,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
18001,Florencia,4,-,4,7,-,7,11,-,5,5,-,22,22,27,-,1,1,-,2,2,3,4,6,10,7,24,31,41
18410,La Montañita,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
18460,Milán,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2
18592,Puerto Rico,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
18610,San José del Fragua,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
18753,San Vicente del Caguán,-,-,-,3,-,3,3,-,1,1,-,9,9,10,-,-,-,-,-,-,-,-,1,1,3,9,12,13
18860,Valparaíso,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
85,Casanare,84,-,84,81,-,81,165,-,54,54,-,109,109,163,-,4,4,-,9,9,13,84,58,142,81,118,199,341
85010,Aguazul,7,-,7,13,-,13,20,-,3,3,-,12,12,15,-,-,-,-,-,-,-,7,3,10,13,12,25,35
85125,Hato Corozal,2,-,2,1,-,1,3,-,-,-,-,4,4,4,-,-,-,-,1,1,1,2,-,2,1,5,6,8
85139,Maní,3,-,3,8,-,8,11,-,1,1,-,4,4,5,-,-,-,-,-,-,-,3,1,4,8,4,12,16
85162,Monterrey,5,-,5,4,-,4,9,-,1,1,-,4,4,5,-,1,1,-,-,-,1,5,2,7,4,4,8,15
85225,Nunchía,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
85230,Orocué,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
85250,Paz de Ariporo,5,-,5,7,-,7,12,-,2,2,-,6,6,8,-,1,1,-,1,1,2,5,3,8,7,7,14,22
85263,Pore,5,-,5,1,-,1,6,-,6,6,-,3,3,9,-,-,-,-,-,-,-,5,6,11,1,3,4,15
85300,Sabanalarga,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,1,1,1,-,-,-,-,3,3,3
85315,Sácama,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
85400,Támara,2,-,2,-,-,-,2,-,2,2,-,1,1,3,-,-,-,-,-,-,-,2,2,4,-,1,1,5
85410,Tauramena,16,-,16,14,-,14,30,-,2,2,-,5,5,7,-,-,-,-,1,1,1,16,2,18,14,6,20,38
85430,Trinidad,-,-,-,1,-,1,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,-,1,2
85440,Villanueva,1,-,1,2,-,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,2,-,2,3
85001,Yopal,37,-,37,29,-,29,66,-,36,36,-,66,66,102,-,2,2,-,5,5,7,37,38,75,29,71,100,175
19,Cauca,37,-,37,37,-,37,74,-,53,53,-,141,141,194,-,18,18,-,22,22,40,37,71,108,37,163,200,308
19022,Almaguer,-,-,-,2,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,3,3
19100,Bolívar,-,-,-,1,-,1,1,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,1,2,3,4
19130,Cajibío,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19137,Caldono,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
19142,Caloto,2,-,2,-,-,-,2,-,2,2,-,4,4,6,-,-,-,-,1,1,1,2,2,4,-,5,5,9
19256,El Tambo,3,-,3,-,-,-,3,-,1,1,-,3,3,4,-,-,-,-,-,-,-,3,1,4,-,3,3,7
19290,Florencia,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
19318,Guapí,1,-,1,1,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,1,2
19392,La Sierra,1,-,1,-,-,-,1,-,2,2,-,-,-,2,-,-,-,-,1,1,1,1,2,3,-,1,1,4
19397,La Vega,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19450,Mercaderes,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19455,Miranda,1,-,1,-,-,-,1,-,1,1,-,1,1,2,-,1,1,-,-,-,1,1,2,3,-,1,1,4
19473,Morales,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19513,Padilla,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19517,Páez,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
19532,Patía,-,-,-,1,-,1,1,-,1,1,-,3,3,4,-,-,-,-,1,1,1,-,1,1,1,4,5,6
19001,Popayán,21,-,21,25,-,25,46,-,33,33,-,101,101,134,-,13,13,-,16,16,29,21,46,67,25,117,142,209
19573,Puerto Tejada,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,2,2,-,-,-,2,-,2,2,1,1,2,4
19585,Puracé,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
19693,San Sebastián,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
19698,Santander de Quilichao,3,-,3,3,-,3,6,-,8,8,-,12,12,20,-,-,-,-,-,-,-,3,8,11,3,12,15,26
19743,Silvia,2,-,2,-,-,-,2,-,-,-,-,3,3,3,-,-,-,-,-,-,-,2,-,2,-,3,3,5
19760,Sotara,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
19780,Suárez,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
19785,Sucre,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
19807,Timbío,1,-,1,-,-,-,1,-,2,2,-,-,-,2,-,1,1,-,-,-,1,1,3,4,-,-,-,4
19809,Timbiquí,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
19824,Totoró,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
19845,Villa Rica,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,2,2,2,1,-,1,-,3,3,4
20,Cesar,26,-,26,39,-,39,65,-,45,45,-,96,96,141,-,3,3,-,7,7,10,26,48,74,39,103,142,216
20011,Aguachica,5,-,5,11,-,11,16,-,5,5,-,10,10,15,-,-,-,-,1,1,1,5,5,10,11,11,22,32
20013,Agustín Codazzi,-,-,-,-,-,-,-,-,1,1,-,2,2,3,-,-,-,-,-,-,-,-,1,1,-,2,2,3
20032,Astrea,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
20060,Bosconia,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
20175,Chimichagua,2,-,2,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,2
20178,Chiriguaná,3,-,3,1,-,1,4,-,-,-,-,5,5,5,-,-,-,-,-,-,-,3,-,3,1,5,6,9
20228,Curumaní,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
20250,El Paso,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
20400,La Jagua de Ibirico,1,-,1,3,-,3,4,-,-,-,-,4,4,4,-,-,-,-,-,-,-,1,-,1,3,4,7,8
20621,La Paz,1,-,1,-,-,-,1,-,-,-,-,3,3,3,-,-,-,-,-,-,-,1,-,1,-,3,3,4
20443,Manaure Balcón del Cesar,-,-,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,2,2
20517,Pailitas,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
20614,Río de Oro,-,-,-,1,-,1,1,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,1,1,1,4,5,6
20710,San Alberto,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
20001,Valledupar,14,-,14,21,-,21,35,-,35,35,-,63,63,98,-,3,3,-,6,6,9,14,38,52,21,69,90,142
27,Chocó,2,-,2,7,-,7,9,-,5,5,-,17,17,22,-,-,-,-,1,1,1,2,5,7,7,18,25,32
27006,Acandí,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
27205,Condoto,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,2,2
27361,Istmina,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
27001,Quibdó,2,-,2,5,-,5,7,-,4,4,-,15,15,19,-,-,-,-,-,-,-,2,4,6,5,15,20,26
23,Córdoba,5,-,5,17,-,17,22,-,14,14,-,43,43,57,-,8,8,-,7,7,15,5,22,27,17,50,67,94
23162,Cereté,-,-,-,1,-,1,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,1,1,2,3
23182,Chinú,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
23350,La Apartada,-,-,-,2,-,2,2,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,2,-,2,3
23417,Lorica,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
23464,Momil,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,1,1,-,-,-,1
23466,Montelíbano,-,-,-,3,-,3,3,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,3,1,4,4
23001,Montería,3,-,3,5,-,5,8,-,6,6,-,22,22,28,-,5,5,-,6,6,11,3,11,14,5,28,33,47
23555,Planeta Rica,1,-,1,-,-,-,1,-,-,-,-,4,4,4,-,1,1,-,-,-,1,1,1,2,-,4,4,6
23570,Pueblo Nuevo,-,-,-,-,-,-,-,-,-,-,-,2,2,2,-,-,-,-,-,-,-,-,-,-,-,2,2,2
23660,Sahagún,1,-,1,3,-,3,4,-,1,1,-,8,8,9,-,1,1,-,1,1,2,1,2,3,3,9,12,15
23670,San Andrés de Sotavento,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
23672,San Antero,-,-,-,-,-,-,-,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,3,3,-,1,1,4
23678,San Carlos,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
23682,San José de Uré,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
23686,San Pelayo,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
25,Cundinamarca,225,-,225,229,-,229,454,-,324,324,-,527,527,851,-,54,54,-,61,61,115,225,378,603,229,588,817,1420
25001,Agua de Dios,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25019,Albán,1,-,1,-,-,-,1,-,1,1,-,1,1,2,-,-,-,-,-,-,-,1,1,2,-,1,1,3
25035,Anapoima,7,-,7,3,-,3,10,-,7,7,-,7,7,14,-,2,2,-,3,3,5,7,9,16,3,10,13,29
25040,Anolaima,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,1,-,-,-,1,-,1,1,-,1,1,2
25599,Apulo,-,-,-,-,-,-,-,-,4,4,-,-,-,4,-,-,-,-,-,-,-,-,4,4,-,-,-,4
25053,Arbeláez,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25086,Beltrán,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1
25095,Bituima,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
25099,Bojacá,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
25123,Cachipay,-,-,-,3,-,3,3,-,3,3,-,9,9,12,-,-,-,-,-,-,-,-,3,3,3,9,12,15
25126,Cajicá,19,-,19,11,-,11,30,-,9,9,-,16,16,25,-,2,2,-,4,4,6,19,11,30,11,20,31,61
25148,Caparrapí,1,-,1,1,-,1,2,-,3,3,-,2,2,5,-,1,1,-,-,-,1,1,4,5,1,2,3,8
25151,Cáqueza,8,-,8,7,-,7,15,-,8,8,-,9,9,17,-,-,-,-,1,1,1,8,8,16,7,10,17,33
25154,Carmen de Carupa,1,-,1,1,-,1,2,-,2,2,-,6,6,8,-,-,-,-,1,1,1,1,2,3,1,7,8,11
25168,Chaguaní,-,-,-,1,-,1,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,1,1,2,2
25175,Chía,15,-,15,14,-,14,29,-,24,24,-,33,33,57,-,3,3,-,2,2,5,15,27,42,14,35,49,91
25178,Chipaque,6,-,6,1,-,1,7,-,5,5,-,3,3,8,-,-,-,-,-,-,-,6,5,11,1,3,4,15
25181,Choachí,4,-,4,1,-,1,5,-,1,1,-,5,5,6,-,1,1,-,-,-,1,4,2,6,1,5,6,12
25183,Chocontá,4,-,4,3,-,3,7,-,5,5,-,7,7,12,-,2,2,-,3,3,5,4,7,11,3,10,13,24
25200,Cogua,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,1,1,-,1,1,2,-,2,2,-,2,2,4
25214,Cota,-,-,-,1,-,1,1,-,-,-,-,3,3,3,-,1,1,-,-,-,1,-,1,1,1,3,4,5
25224,Cucunubá,1,-,1,-,-,-,1,-,4,4,-,1,1,5,-,1,1,-,-,-,1,1,5,6,-,1,1,7
25245,El Colegio,3,-,3,2,-,2,5,-,3,3,-,8,8,11,-,2,2,-,1,1,3,3,5,8,2,9,11,19
25269,Facatativá,20,-,20,19,-,19,39,-,17,17,-,30,30,47,-,2,2,-,4,4,6,20,19,39,19,34,53,92
25279,Fómeque,-,-,-,-,-,-,-,-,2,2,-,2,2,4,-,-,-,-,1,1,1,-,2,2,-,3,3,5
25281,Fosca,-,-,-,2,-,2,2,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,2,1,3,3
25286,Funza,-,-,-,1,-,1,1,-,1,1,-,4,4,5,-,-,-,-,-,-,-,-,1,1,1,4,5,6
25290,Fusagasugá,10,-,10,11,-,11,21,-,10,10,-,34,34,44,-,3,3,-,11,11,14,10,13,23,11,45,56,79
25295,Gachancipá,3,-,3,3,-,3,6,-,3,3,-,4,4,7,-,-,-,-,-,-,-,3,3,6,3,4,7,13
25297,Gachetá,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,1,1,1
25307,Girardot,7,-,7,14,-,14,21,-,12,12,-,29,29,41,-,4,4,-,5,5,9,7,16,23,14,34,48,71
25317,Guachetá,2,-,2,3,-,3,5,-,4,4,-,3,3,7,-,-,-,-,-,-,-,2,4,6,3,3,6,12
25320,Guaduas,6,-,6,7,-,7,13,-,6,6,-,12,12,18,-,-,-,-,2,2,2,6,6,12,7,14,21,33
25322,Guasca,1,-,1,2,-,2,3,-,2,2,-,-,-,2,-,-,-,-,-,-,-,1,2,3,2,-,2,5
25326,Guatavita,-,-,-,2,-,2,2,-,2,2,-,6,6,8,-,-,-,-,-,-,-,-,2,2,2,6,8,10
25328,Guayabal de Síquima,-,-,-,3,-,3,3,-,3,3,-,1,1,4,-,-,-,-,-,-,-,-,3,3,3,1,4,7
25335,Guayabetal,1,-,1,1,-,1,2,-,1,1,-,2,2,3,-,-,-,-,-,-,-,1,1,2,1,2,3,5
25339,Gutiérrez,-,-,-,2,-,2,2,-,3,3,-,4,4,7,-,-,-,-,1,1,1,-,3,3,2,5,7,10
25377,La Calera,-,-,-,-,-,-,-,-,3,3,-,4,4,7,-,-,-,-,-,-,-,-,3,3,-,4,4,7
25386,La Mesa,3,-,3,2,-,2,5,-,17,17,-,14,14,31,-,4,4,-,2,2,6,3,21,24,2,16,18,42
25394,La Palma,-,-,-,2,-,2,2,-,1,1,-,1,1,2,-,-,-,-,1,1,1,-,1,1,2,2,4,5
25398,La Peña,2,-,2,-,-,-,2,-,2,2,-,-,-,2,-,1,1,-,-,-,1,2,3,5,-,-,-,5
25402,La Vega,1,-,1,3,-,3,4,-,1,1,-,1,1,2,-,-,-,-,-,-,-,1,1,2,3,1,4,6
25407,Lenguazaque,1,-,1,1,-,1,2,-,3,3,-,3,3,6,-,-,-,-,-,-,-,1,3,4,1,3,4,8
25426,Machetá,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25430,Madrid,2,-,2,4,-,4,6,-,2,2,-,2,2,4,-,-,-,-,-,-,-,2,2,4,4,2,6,10
25436,Manta,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
25438,Medina,1,-,1,2,-,2,3,-,3,3,-,4,4,7,-,-,-,-,1,1,1,1,3,4,2,5,7,11
25473,Mosquera,1,-,1,2,-,2,3,-,2,2,-,2,2,4,-,1,1,-,1,1,2,1,3,4,2,3,5,9
25486,Nemocón,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,1,1,-,-,-,1,1,1,2,1,1,2,4
