NÚMERO DE CASOS","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF)","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).1","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).2","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).3","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).4","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).5","VIOLENCIA CONTRA NIÑOS, NIÑAS Y ADOLESCENTES (VIF).6",VIOLENCIA ENTRE OTROS FAMILIARES (VIF),VIOLENCIA ENTRE OTROS FAMILIARES (VIF).1,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).2,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).3,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).4,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).5,VIOLENCIA ENTRE OTROS FAMILIARES (VIF).6,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF),VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).1,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).2,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).3,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).4,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).5,VIOLENCIA CONTRA EL ADULTO MAYOR (VIF).6,TOTAL,TOTAL.1,TOTAL.2,TOTAL.3,TOTAL.4,TOTAL.5,TOTAL.6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,
5093,Betulia,-,-,-,1,-,1,1,-,-,-,-,4,4,4,-,1,1,-,-,-,1,-,1,1,1,4,5,6
5107,Briceño,1,-,1,-,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,1,2,-,-,-,2
5129,Caldas,2,-,2,13,-,13,15,-,16,16,-,17,17,33,-,1,1,-,6,6,7,2,17,19,13,23,36,55
5134,Campamento,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
5138,Cañasgordas,1,-,1,1,-,1,2,-,2,2,-,3,3,5,-,-,-,-,-,-,-,1,2,3,1,3,4,7
5150,Carolina,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5154,Caucasia,2,-,2,4,-,4,6,-,3,3,-,6,6,9,-,1,1,-,-,-,1,2,4,6,4,6,10,16
5172,Chigorodó,2,-,2,2,-,2,4,-,3,3,-,7,7,10,-,1,1,-,-,-,1,2,4,6,2,7,9,15
5190,Cisneros,1,-,1,-,-,-,1,-,-,-,-,1,1,1,-,-,-,-,-,-,-,1,-,1,-,1,1,2
5101,Ciudad Bolívar,2,-,2,1,-,1,3,-,2,2,-,2,2,4,-,1,1,-,-,-,1,2,3,5,1,2,3,8
5197,Cocorná,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,-,-,-,1,1,1
5206,Concepción,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5209,Concordia,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5212,Copacabana,8,-,8,5,-,5,13,-,13,13,-,29,29,42,-,1,1,-,3,3,4,8,14,22,5,32,37,59
5234,Dabeiba,1,-,1,1,-,1,2,-,1,1,-,3,3,4,-,-,-,-,-,-,-,1,1,2,1,3,4,6
5237,Donmatías,1,-,1,-,-,-,1,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,-,2,2,3
5240,Ebéjico,1,-,1,1,-,1,2,-,-,-,-,2,2,2,-,1,1,-,-,-,1,1,1,2,1,2,3,5
5148,El Carmen de Viboral,5,-,5,4,-,4,9,-,7,7,-,9,9,16,-,1,1,-,-,-,1,5,8,13,4,9,13,26
5697,El Santuario,-,-,-,3,-,3,3,-,4,4,-,4,4,8,-,-,-,-,-,-,-,-,4,4,3,4,7,11
5264,Entrerríos,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1
5266,Envigado,2,-,2,9,-,9,11,-,20,20,-,32,32,52,-,7,7,-,7,7,14,2,27,29,9,39,48,77
5282,Fredonia,1,-,1,1,-,1,2,-,-,-,-,1,1,1,-,1,1,-,-,-,1,1,1,2,1,1,2,4
5306,Giraldo,1,-,1,2,-,2,3,-,1,1,-,1,1,2,-,-,-,-,1,1,1,1,1,2,2,2,4,6
5308,Girardota,1,-,1,1,-,1,2,-,7,7,-,4,4,11,-,4,4,-,-,-,4,1,11,12,1,4,5,17
5310,Gómez Plata,1,-,1,1,-,1,2,-,1,1,-,-,-,1,-,-,-,-,1,1,1,1,1,2,1,1,2,4
5313,Granada,-,-,-,-,-,-,-,-,1,1,-,1,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,2
5315,Guadalupe,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,-,-,-,1,1,1,2,-,-,-,2
5318,Guarne,20,-,20,35,-,35,55,-,12,12,-,26,26,38,-,5,5,-,1,1,6,20,17,37,35,27,62,99
5321,Guatapé,1,-,1,1,-,1,2,-,-,-,-,2,2,2,-,-,-,-,-,-,-,1,-,1,1,2,3,4
5353,Hispania,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1
