CÓDIGOS,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE ,Menores de Edad (<18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Hombre/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/HOMBRE/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),Mayores de Edad (>18 años)/Mujer/VIOLENCIA INTERPERSONAL (CASOS),TOTAL/MUJER/VIOLENCIA INTERPERSONAL (CASOS),/TOTAL/VIOLENCIA INTERPERSONAL (CASOS),Menores de Edad (<18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Hombre (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/HOMBRE (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),Menores de Edad (<18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),Mayores de Edad (>18 años)/Mujer (Tasa x 100.000 Hab.)/VIOLENCIA INTERPERSONAL (TASAS),TOTAL/MUJER (TASA X 100.000 HAB.)/VIOLENCIA INTERPERSONAL (TASAS),(TASA X 100.000 HAB.)/TOTAL/VIOLENCIA INTERPERSONAL (TASAS)
5209,Concordia,1,33,34,2,26,28,62.0,31.94888178913738,428.07108574393567,313.6820739920657,67.49915626054674,329.6981993406036,258.0883030694073,285.87237181851714
5212,Copacabana,2,54,56,1,27,28,84.0,22.358859698155396,175.49561260968477,141.00465818960092,11.678150181011329,80.49609444875082,66.50041562759768,102.66438523588366
5234,Dabeiba,-,9,9,3,6,9,18.0,0.0,131.19533527696794,75.55406312961719,63.29113924050633,87.5018229546449,77.6062774855566,76.56642137053895
5237,Donmatías,1,6,7,-,2,2,9.0,35.08771929824561,94.44356996694475,76.06215364555037,0.0,25.80312217778351,19.036740909956215,45.66441727129738
5240,Ebéjico,-,1,1,-,1,1,2.0,0.0,21.244954323348203,16.20482903905364,0.0,21.968365553602812,16.77008217340265,16.482610845557936
5250,El Bagre,-,1,1,-,-,-,1.0,0.0,6.3856960408684555,3.748266426777615,0.0,0.0,0.0,1.8571481632804665
5148,El Carmen de Viboral,2,35,37,-,10,10,47.0,22.519986488008108,158.92476047768244,119.72560186383639,0.0,43.47448047995827,31.568646020772167,75.10266694364104
5697,El Santuario,1,17,18,-,4,4,22.0,16.742005692281936,148.8095238095238,103.46611484738747,0.0,29.68460111317254,20.824656393169512,60.10107908755634
5264,Entrerríos,-,5,5,-,4,4,9.0,0.0,119.84659635666348,85.36793580331228,0.0,98.25595676737902,68.13149378300119,76.73942701227831
5266,Envigado,4,118,122,4,39,43,165.0,18.64541089824267,131.03976723783717,109.4150777564528,19.770660340055358,35.30593954536813,32.90102911358506,68.126359946655
5282,Fredonia,2,20,22,1,16,17,39.0,70.10164738871364,208.5723224528105,176.820446873493,34.92839678658749,169.33008783998307,138.07667316439245,157.55029490183404
5306,Giraldo,-,1,1,-,1,1,2.0,0.0,50.175614651279474,33.97893306150187,0.0,52.96610169491525,35.62522265764161,34.78260869565218
5308,Girardota,2,36,38,1,7,8,46.0,30.627871362940276,178.59800565560352,142.39142653726535,16.450074025333112,32.298251280394965,28.826751225136928,84.49824574294163
5310,Gómez Plata,1,11,12,2,7,9,21.0,77.39938080495357,301.20481927710847,242.71844660194174,163.9344262295082,186.31887143997872,180.83182640144665,211.672210462655
5313,Granada,-,1,1,-,1,1,2.0,0.0,31.695721077654518,20.563438206868188,0.0,29.612081729345572,20.403999183840032,20.48340843916428
5315,Guadalupe,2,5,7,1,10,11,18.0,195.3125,211.14864864864867,206.36792452830187,106.72358591248667,428.0821917808219,336.0831041857623,270.0675168792198
5318,Guarne,2,43,45,3,16,19,64.0,27.563395810363836,199.1570561808161,155.9954241342254,46.35352286773795,70.05253940455341,64.81986899563319,110.04315755085197
5321,Guatapé,-,8,8,-,-,-,8.0,0.0,252.0478890989288,187.88163457022077,0.0,0.0,0.0,91.85899644046388
5347,Heliconia,-,3,3,-,1,1,4.0,0.0,138.82461823229985,106.57193605683837,0.0,50.27652086475615,38.75968992248062,74.14272474513439
5353,Hispania,-,2,2,-,-,-,2.0,0.0,97.60858955588093,71.73601147776183,0.0,0.0,0.0,35.77177606868181
5360,Itagüí,11,211,222,6,89,95,317.0,35.393674185141094,197.08758721826283,160.70885636103029,20.29152152592242,72.77960862561025,62.559266673690864,109.31260646772003
5361,Ituango,2,11,13,2,5,7,20.0,49.248953459738985,85.07347254447022,76.51109410864575,53.17734645041213,71.05300554213443,64.826819781441,71.97092374680629
5364,Jardín,-,12,12,-,7,7,19.0,0.0,220.91310751104564,162.5795962606693,0.0,123.58757062146894,93.97234528124581,128.11867835468644
5368,Jericó,2,26,28,1,14,15,43.0,123.99256044637322,500.67398420951275,411.4017043784896,64.59948320413437,261.58445440956655,217.3913043478261,313.73121260761707
5376,La Ceja,3,37,40,5,19,24,64.0,36.53190452995616,148.70784936296772,120.87148339527997,62.31306081754736,69.83240223463687,68.11989100817438,93.66995975118917
5380,La Estrella,2,64,66,3,8,11,77.0,23.801023444008095,227.111426543648,180.41166662110817,38.201961033999744,25.739197580515427,28.252940874300098,101.96379623131216
5390,La Pintada,-,1,1,-,2,2,3.0,0.0,32.615786040443574,23.474178403755868,0.0,64.55777921239509,47.61904761904762,35.46099290780142
5400,La Unión,-,1,1,-,1,1,2.0,0.0,12.682308180088777,9.047317470370036,0.0,12.004801920768308,8.819897689186806,8.932160242954758
5411,Liborina,1,2,3,-,-,-,3.0,65.48788474132286,54.61496450027307,57.814607824243595,0.0,0.0,0.0,29.732408325074335
