 DIVIPOLA,"COMPORTAMIENTO DE LAS LESIONES NO FATALES POR VIOLENCIA INTERPERSONAL EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENCIA INTERPERSONAL (CASOS),VIOLENCIA INTERPERSONAL (CASOS).1,VIOLENCIA INTERPERSONAL (CASOS).2,VIOLENCIA INTERPERSONAL (CASOS).3,VIOLENCIA INTERPERSONAL (CASOS).4,VIOLENCIA INTERPERSONAL (CASOS).5,VIOLENCIA INTERPERSONAL (CASOS).6,VIOLENCIA INTERPERSONAL (TASAS),VIOLENCIA INTERPERSONAL (TASAS).1,VIOLENCIA INTERPERSONAL (TASAS).2,VIOLENCIA INTERPERSONAL (TASAS).3,VIOLENCIA INTERPERSONAL (TASAS).4,VIOLENCIA INTERPERSONAL (TASAS).5,VIOLENCIA INTERPERSONAL (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
8634,Sabanagrande,2,16,18,-,6,6,24,35.5998576005696,131.52486642005755,101.2202665467019,0,48.760666395774074,33.45040976751965,67.18924972004478
8638,Sabanalarga,8,71,79,5,31,36,115,47.74694121157863,210.29559860197855,156.38299978225152,31.158471988533684,87.87097139941609,70.13989011417216,112.91890458843515
8685,Santo Tomás,-,20,20,-,4,4,24,0,176.00985655196692,124.40905697934811,0,33.64454537808058,24.24536307431204,73.67839381101493
8758,Soledad,25,260,285,13,138,151,436,23.47616230479571,116.21566050723666,86.3079285188651,12.839886613924364,56.18663735189936,43.53379058228607,64.39511424224969
8770,Suan,-,-,-,-,1,1,1,0,0,0,0,22.97266253158741,15.288182235132243,7.814331483941548
8832,Tubará,-,4,4,-,4,4,8,0,56.97194131890044,40.4122044857547,0,61.83335909723296,43.061685865001614,41.6948975869078
8849,Usiacurí,1,11,12,-,1,1,13,50.76142131979696,225.1330331559558,175.0291715285881,0,21.70138888888889,15.328019619865113,97.15994020926756
11,"Bogotá, D.C.",797,12723,13520,394,5085,5479,18999,88.48241009654241,446.29499387015244,360.38447052137667,45.31855840975568,158.25261723686884,134.20310202913913,242.51461578493286
11001,"Bogotá, D.C.",797,12723,13520,394,5085,5479,18999,88.48241009654241,446.29499387015244,360.38447052137667,45.31855840975568,158.25261723686884,134.20310202913913,242.51461578493286
13,Bolívar,83,827,910,43,518,561,1471,22.898509941539828,112.54977639748172,82.9342313318235,12.464635221000881,67.20029059585123,50.27755720976585,66.46902186609407
13030,Altos del Rosario,-,1,1,-,1,1,2,0,26.99784017278618,16.382699868938403,0,30.339805825242717,17.692852087756545,17.01258931609391
13042,Arenal,-,2,2,1,1,2,4,0,78.40062720501764,49.031625398381955,71.07320540156361,41.597337770382694,52.479664130149565,50.69708491761723
13052,Arjona,2,32,34,1,14,15,49,16.31055292774425,129.61237798209729,92.0137479364564,8.311170212765957,54.18795479176343,39.61128129291222,65.49138587791872
13062,Arroyohondo,-,1,1,-,-,-,1,0,34.258307639602606,22.47696111485727,0,0,0,11.313497001923293
13074,Barranco de Loba,-,2,2,-,-,-,2,0,41.814760610495505,25.403277022735935,0,0,0,12.98532658096351
13140,Calamar,-,6,6,-,6,6,12,0,78.07417046193883,50.8560773012375,0,76.98229407236335,51.56854318865492,51.20983228779926
13160,Cantagallo,-,2,2,-,1,1,3,0,64.7878198898607,42.744176106005554,0,37.59398496240602,24.125452352231605,33.99818676337262
13001,Cartagena de Indias,60,605,665,31,390,421,1086,38.26555016294747,175.0224202273845,132.3464731157544,20.664462457337883,99.63187300257253,77.75317338218916,104.03036230537414
13188,Cicuco,-,5,5,-,6,6,11,0,110.52166224580019,68.1384573453257,0,132.6259946949602,83.62369337979094,75.7941156204782
13222,Clemencia,-,4,4,-,2,2,6,0,78.40062720501764,50.44772354647496,0,40.12036108324975,25.799793601651185,38.262865888655064
13212,Córdoba,-,3,3,-,-,-,3,0,49.82561036372695,33.77997973201216,0,0,0,17.949024769654184
13244,El Carmen de Bolívar,5,27,32,-,22,22,54,39.407313997477935,106.67298802892024,84.21274244059055,0,92.80742459396751,61.70415661636843,73.31676917437171
13248,El Guamo,1,-,1,1,-,1,2,72.04610951008645,0,20.81165452653486,79.55449482895784,0,23.201856148491878,21.941854086670325
13268,El Peñón,-,8,8,-,2,2,10,0,301.88679245283015,186.34987188446308,0,82.37232289950576,51.26890540886952,122.040517451794
13300,Hatillo de Loba,1,1,2,-,1,1,3,39.32363350373574,23.82654276864427,29.673590504451038,0,25.66735112936345,15.470297029702971,22.72038776128446
13430,Magangué,6,27,33,4,20,24,57,24.30035235510915,58.06077027288563,46.35222069275501,17.327268789257094,41.736227045075125,33.80043658897261,40.08467007503569
13433,Mahates,1,6,7,1,-,1,8,20.2020202020202,58.34305717619603,45.94984902192464,21.226915729144554,0,6.870491240123669,26.855550706636677
13442,María la Baja,-,9,9,1,17,18,27,0,58.27128520556814,36.365105660834786,11.576753878212548,107.75862068965517,73.72818874416319,54.91934991762097
13468,Mompós,-,7,7,-,1,1,8,0,46.60763033490911,29.994001199760046,0,6.377551020408164,4.21123557651815,16.990909863223177
13473,Morales,-,1,1,-,-,-,1,0,12.434717731907487,7.957348611442667,0,0,0,4.221546774738265
13549,Pinillos,-,1,1,1,1,2,3,0,12.106537530266344,7.61266747868453,21.62162162162162,13.689253935660506,16.764459346186086,11.968403414984442
13600,Río Viejo,-,-,-,-,1,1,1,0,0,0,0,29.48982601002654,19.485580670303975,9.18105031215571
13620,San Cristóbal,-,5,5,-,-,-,5,0,170.70672584499832,114.70520761642578,0,0,0,57.497700091996315
13647,San Estanislao,-,-,-,-,3,3,3,0,0,0,0,44.89001945234176,30.91190108191654,15.45833977430824
13654,San Jacinto,-,2,2,-,1,1,3,0,22.82844424152494,15.749271596188677,0,11.966016513102788,8.189337482597658,12.04335608189482
13657,San Juan Nepomuceno,5,7,12,-,1,1,13,84.91847826086956,49.75124378109452,60.12626515682934,0,7.427213309566251,5.226845076311938,33.2565873624968
13667,San Martín de Loba,-,2,2,-,3,3,5,0,41.42502071251035,25.22704339051463,0,66.32765863365023,41.74784302811021,33.081910811168456
13670,San Pablo,-,3,3,-,1,1,4,0,32.99967000329997,20.31419284940412,0,11.275228323373547,6.94589150517469,13.715069432539002
13673,Santa Catalina,-,2,2,-,2,2,4,0,40.69175991861648,26.542800265428003,0,38.64734299516908,26.20888481195125,26.37478570486615
13688,Santa Rosa del Sur,-,6,6,-,2,2,8,0,53.069166814081015,33.344448149383126,0,18.745899334520573,11.706175007316359,22.805667208301266
13683,Santa Rosa,-,4,4,1,2,3,7,0,53.77789728421619,35.596689507875766,26.267402153926977,25.987525987525988,26.080153003564288,30.782761653474058
13744,Simití,-,1,1,-,1,1,2,0,15.137753557372086,9.796238244514106,0,16.795431642593215,10.848340203948796,10.295480284155255
13760,Soplaviento,-,1,1,-,-,-,1,0,26.096033402922753,18.521948508983144,0,0,0,9.09338910611985
13780,Talaigua Nuevo,-,6,6,-,1,1,7,0,141.20969639915276,89.45877441479051,0,23.957834211787254,15.001500150015003,52.34427577955582
13836,Turbaco,-,18,18,1,10,11,29,0,46.216653400775414,31.686793648558254,5.910514805839588,24.159841511439684,18.864688732635912,25.1919802633865
13838,Turbaná,1,8,9,-,3,3,12,35.80379520229145,128.53470437017995,99.81146722856826,0,49.93342210386152,34.674063800277395,67.91555832248571
13873,Villanueva,1,9,10,-,1,1,11,22.06531332744925,105.00525026251313,76.31840036632832,0,12.283503255128362,7.999360051195904,42.96203718169036
13894,Zambrano,-,3,3,-,1,1,4,0,67.38544474393531,44.957290573954744,0,25.687130747495505,17.155601303825698,31.994880819068946
15,Boyacá,83,1259,1342,70,603,673,2015,46.54658022835864,287.3117298037426,217.67480487124422,41.68329035984589,129.0595985668606,105.95772082266015,160.98428106337508
15022,Almeida,-,1,1,-,-,-,1,0,132.9787234042553,105.26315789473684,0,0,0,54.94505494505494
15047,Aquitania,-,5,5,-,2,2,7,0,91.75995595522114,62.60172780768749,0,38.07348181991243,26.079019428869472,44.71129279509453
15051,Arcabuco,-,10,10,-,1,1,11,0,480.53820278712163,332.22591362126246,0,47.01457451810061,33.211557622052474,182.69390466699883
15087,Belén,-,7,7,4,2,6,13,0,272.69185820023375,193.31676332504833,383.5091083413231,68.46970215679562,151.36226034308777,171.39090309822015
15090,Berbeo,-,1,1,-,-,-,1,0,166.66666666666669,123.45679012345678,0,0,0,62.77463904582549
15092,Betéitiva,-,1,1,-,-,-,1,0,138.88888888888889,104.49320794148382,0,0,0,51.3083632632119
15104,Boyacá,-,2,2,-,1,1,3,0,105.98834128245893,74.8502994011976,0,56.33802816901409,40.290088638195,58.20721769499418
15114,Busbanzá,-,1,1,-,1,1,2,0,251.25628140703517,172.1170395869191,0,228.83295194508008,172.41379310344828,172.2652885443583
15131,Caldas,-,2,2,-,2,2,4,0,176.67844522968198,128.36970474967907,0,171.52658662092625,125.78616352201257,127.06480304955528
15162,Cerinza,-,3,3,-,-,-,3,0,220.91310751104564,165.8374792703151,0,0,0,80.38585209003216
15176,Chiquinquirá,10,77,87,12,47,59,146,116.52295502213937,399.0464344941957,312.07403687495514,146.10982588579083,211.0936447338873,193.5822560535468,250.18849818356296
15180,Chiscas,-,1,1,-,-,-,1,0,70.32348804500704,50.53057099545225,0,0,0,25.54931016862545
15183,Chita,-,1,1,-,-,-,1,0,38.80481179666278,24.850894632206757,0,0,0,12.742099898063202
15185,Chitaraque,2,10,12,-,1,1,13,219.05805038335157,465.9832246039142,392.2850604772802,0,51.25576627370579,35.12469265893923,220.11513714866237
15187,Chivatá,-,5,5,-,-,-,5,0,533.0490405117271,349.89503149055287,0,0,0,175.19271198318148
15189,Ciénega,-,1,1,-,-,-,1,0,62.93266205160479,43.084877208099954,0,0,0,21.331058020477816
15204,Cómbita,1,62,63,-,4,4,67,66.75567423230974,907.6269945835163,756.393324528755,0,109.14051841746249,79.2393026941363,500.8596845331539
15212,Coper,-,2,2,-,1,1,3,0,148.92032762472078,106.55301012253595,0,79.93605115907275,58.17335660267597,83.42602892102336
15215,Corrales,-,3,3,-,-,-,3,0,322.234156820623,227.7904328018223,0,0,0,117.05033164260631
15223,Cubará,-,6,6,-,1,1,7,0,210.2312543798178,110.72153533862337,0,34.57814661134164,18.487705675725643,64.64721093461397
15224,Cucaita,-,4,4,-,1,1,5,0,299.17726252804783,207.14655618850335,0,76.80491551459293,53.10674455655868,131.09596224436288
15226,Cuítiva,-,1,1,-,1,1,2,0,170.35775127768315,112.99435028248588,0,152.20700152207002,106.60980810234541,109.70927043335162
15238,Duitama,17,166,183,9,89,98,281,101.67464114832535,376.8787177042183,301.15525129184084,57.44191983660965,173.97083545095586,146.6495076766528,220.23324346354002
15272,Firavitoba,-,2,2,-,4,4,6,0,82.16926869350863,59.73715651135006,0,150.26296018031556,114.18783899514702,87.57845569989783
15276,Floresta,-,1,1,-,-,-,1,0,87.87346221441125,64.9772579597141,0,0,0,30.731407498463426
15293,Gachantivá,-,-,-,-,1,1,1,0,0,0,0,106.15711252653928,75.35795026375283,35.7398141529664
15296,Gámeza,-,2,2,-,-,-,2,0,121.28562765312311,80,0,0,0,40.941658137154555
15299,Garagoa,-,9,9,-,6,6,15,0,139.44840409048652,102.52904989747095,0,80.85163724565423,62.002686783093935,81.2787862367922
15322,Guateque,-,5,5,-,-,-,5,0,125.97631645250692,96.07993850883935,0,0,0,45.53319369820599
15325,Guayatá,-,-,-,-,1,1,1,0,0,0,0,72.93946024799416,58.41121495327102,29.282576866764273
15362,Iza,-,3,3,-,-,-,3,0,432.9004329004329,299.7002997002997,0,0,0,149.2537313432836
15367,Jenesano,-,4,4,-,-,-,4,0,156.18898867629832,110.0715465052284,0,0,0,54.12719891745603
15425,Macanal,-,2,2,-,-,-,2,0,102.9336078229542,77.22007722007721,0,0,0,39.15426781519186
15442,Maripí,-,3,3,-,-,-,3,0,131.57894736842104,94.66708740927739,0,0,0,52.42005940940067
15455,Miraflores,1,11,12,-,2,2,14,78.30853563038372,335.0593968930856,263.1578947368421,0,56.65722379603399,44.25757911042266,154.20200462606013
15464,Mongua,-,3,3,-,1,1,4,0,199.20318725099602,133.45195729537366,0,58.47953216374269,41.597337770382694,85.98452278589853
15466,Monguí,-,2,2,-,-,-,2,0,143.98848092152627,98.1836033382425,0,0,0,46.27487274409995
15469,Moniquirá,3,32,35,1,19,20,55,95.08716323296355,383.69304556354916,304.4802087864289,34.41156228492773,215.93362882145698,170.86715079026058,237.06896551724137
15476,Motavita,1,3,4,-,2,2,6,101.93679918450562,162.51354279523295,141.49274849663954,0,103.51966873706004,68.56359273225917,104.45682451253482
15480,Muzo,-,2,2,-,-,-,2,0,59.4000594000594,43.946385409800044,0,0,0,23.66023896841358
15491,Nobsa,1,19,20,-,7,7,27,42.57130693912303,338.1384588004983,251.00401606425703,0,109.82114841543772,81.41428239125378,162.98442593263312
15500,Oicatá,-,4,4,-,2,2,6,0,400,270.4530087897228,0,189.2147587511826,139.66480446927375,206.11473720371006
15507,Otanche,-,13,13,-,5,5,18,0,455.820476858345,314.9987884661982,0,184.9796522382538,127.09710218607015,223.2973576479345
15514,Páez,-,1,1,-,-,-,1,0,81.36696501220504,57.636887608069166,0,0,0,30.609121518212426
15516,Paipa,5,51,56,3,23,26,82,102.24948875255625,426.1363636363636,332.1864989915767,65.90509666080844,170.10576140817986,143.86100813368006,234.74850419398243
15518,Pajarito,1,-,1,-,2,2,3,268.0965147453083,0,79.30214115781126,0,243.0133657351154,170.94017094017093,123.40600575894693
15531,Pauna,-,2,2,-,3,3,5,0,71.71029042667624,53.07855626326964,0,116.50485436893204,85.83690987124463,68.84207627702051
15537,Paz de Río,-,5,5,-,2,2,7,0,331.34526176275676,240.84778420038535,0,123.00123001230013,92.93680297397769,165.56291390728478
15542,Pesca,-,2,2,-,1,1,3,0,86.46779074794638,58.03830528148578,0,42.69854824935952,30.012004801920767,44.26084390675716
15572,Puerto Boyacá,5,52,57,8,53,61,118,66.65777896280495,313.51742433377547,236.64217212604308,108.29836198727496,309.07394448332167,248.6244141023028,242.68849491999507
15580,Quípama,-,2,2,-,-,-,2,0,99.25558312655087,74.23904974016332,0,0,0,39.864460833167236
15599,Ramiriquí,-,10,10,-,1,1,11,0,282.80542986425337,198.8466892026248,0,27.94076557697681,19.538882375928097,108.4064255444959
15600,Ráquira,-,1,1,-,3,3,4,0,32.91639236339697,23.413720440177944,0,109.44910616563297,78.65757734661773,49.474335188620906
15621,Rondón,-,1,1,-,-,-,1,0,123.00123001230013,83.12551953449709,0,0,0,41.84100418410041
15632,Saboyá,-,6,6,-,2,2,8,0,128.36970474967907,88.01525597770281,0,40.26575397624321,28.050490883590463,57.360005736000566
15638,Sáchica,-,2,2,-,-,-,2,0,101.93679918450562,68.3293474547318,0,0,0,34.97726477789437
15646,Samacá,1,9,10,-,1,1,11,30.826140567200987,143.47202295552367,105.07512871703267,0,15.75795776867318,10.595465140919687,58.03218148245845
15664,San José de Pare,-,10,10,-,1,1,11,0,515.729757607014,380.95238095238096,0,55.648302726766836,41.511000415110004,218.51410409217323
15667,San Luis de Gaceno,-,4,4,-,3,3,7,0,197.1414489896501,142.09591474245116,0,152.5165226232842,111.23470522803115,126.99564586357039
15673,San Mateo,-,1,1,-,-,-,1,0,90.9090909090909,64.18485237483954,0,0,0,31.71582619727244
15676,San Miguel de Sema,-,2,2,-,1,1,3,0,203.25203252032523,131.49243918474687,0,89.84725965858041,66.18133686300463,98.94459102902375
15681,San Pablo de Borbur,-,2,2,-,1,1,3,0,76.21951219512195,54.377379010331694,0,48.732943469785575,32.40440699935191,44.352454169130695
15693,Santa Rosa de Viterbo,1,15,16,-,5,5,21,63.371356147021544,276.1922297919352,228.27792837779998,0,102.41704219582138,78.003120124805,156.49452269170578
15696,Santa Sofía,-,1,1,-,2,2,3,0,86.4304235090752,60.82725060827251,0,172.71157167530222,125.7071024512885,92.73570324574962
15686,Santana,-,7,7,-,4,4,11,0,245.0122506125306,174.5635910224439,0,147.92899408284023,106.52463382157123,141.6613007083065
15720,Sativanorte,-,2,2,-,1,1,3,0,232.5581395348837,181.98362147406735,0,126.58227848101266,93.54536950420955,138.37638376383762
15740,Siachoque,-,5,5,-,1,1,6,0,221.82786157941436,142.12620807276863,0,46.97040864255519,30.26634382566586,87.95074758135445
15757,Socha,1,3,4,-,1,1,5,80.71025020177562,106.83760683760684,98.83864591055102,0,34.78260869565218,24.4140625,61.40243153628884
15755,Socotá,-,5,5,-,-,-,5,0,190.76688286913392,130.17443374121322,0,0,0,68.85155604516662
15759,Sogamoso,12,160,172,12,99,111,283,69.85679357317498,349.44416537445125,273.1676328118796,74.64543418760886,186.72903542193217,160.65070773149623,214.29815461271096
15764,Soracá,2,11,13,1,4,5,18,193.42359767891682,549.1762356465302,428.05400065854457,95.23809523809524,197.6284584980237,162.6545217957059,294.5508100147275
15763,Sotaquirá,-,10,10,-,2,2,12,0,343.52456200618343,233.1002331002331,0,71.73601147776183,49.09180166912125,143.47202295552367
15774,Susacón,-,1,1,-,-,-,1,0,94.87666034155598,70.97232079489,0,0,0,36.72420124862284
15778,Sutatenza,-,1,1,-,1,1,2,0,64.35006435006434,48.16955684007707,0,58.41121495327102,45.955882352941174,47.03668861712136
15790,Tasco,-,3,3,-,-,-,3,0,149.402390438247,102.11027910142954,0,0,0,51.43151037202125
15798,Tenza,-,2,2,-,-,-,2,0,139.17884481558804,105.76414595452141,0,0,0,51.975051975051976
15804,Tibaná,-,2,2,-,-,-,2,0,62.91286568103177,44.238000442380006,0,0,0,21.777003484320556
15806,Tibasosa,-,16,16,2,5,7,23,0,336.5586874211191,240.31240612796637,116.68611435239205,97.63718023823472,102.41404535479151,170.45875639220336
15808,Tinjacá,-,1,1,-,-,-,1,0,83.05647840531562,59.66587112171838,0,0,0,29.62962962962963
15814,Toca,-,8,8,1,2,3,11,0,267.5585284280936,176.25027539105528,71.07320540156361,66.44518272425249,67.91940230925968,122.82268870031264
15816,Togüí,-,3,3,-,-,-,3,0,196.3350785340314,133.5113484646195,0,0,0,68.71278057718736
15820,Tópaga,-,2,2,-,1,1,3,0,162.73393002441009,111.60714285714285,0,74.68259895444362,51.75983436853002,80.55853920515575
15822,Tota,-,1,1,-,-,-,1,0,58.0046403712297,37.86444528587656,0,0,0,18.975332068311197
15001,Tunja,16,317,333,14,165,179,512,66.77238961689342,516.7495313391474,390.3548360626912,61.07136625370791,228.0990364543733,187.90480889346114,283.5496876522972
15832,Tununguá,-,1,1,-,-,-,1,0,170.35775127768315,115.47344110854503,0,0,0,63.0119722747322
15835,Turmequé,-,1,1,-,-,-,1,0,45.74565416285453,32.59452411994785,0,0,0,16.129032258064516
15837,Tuta,-,1,1,1,1,2,3,0,35.038542396636295,24.084778420038536,76.92307692307692,32.56268316509281,45.75611988103409,35.19887363604364
15839,Tutazá,-,1,1,-,-,-,1,0,149.2537313432836,100.80645161290322,0,0,0,48.70920603994155
15842,Úmbita,1,-,1,-,-,-,1,88.261253309797,0,25.529742149604292,0,0,0,13.149243918474687
15861,Ventaquemada,2,8,10,2,5,7,17,73.17965605561653,150.23474178403757,124.10027302060065,81.76614881439085,87.62705923589205,85.8684985279686,104.87353485502777
15407,Villa de Leyva,-,6,6,-,2,2,8,0,99.68433294567204,71.75316909830184,0,30.721966205837173,22.89901534234028,46.79457182966776
15879,Viracachá,-,7,7,-,-,-,7,0,671.7850287907869,480.10973936899865,0,0,0,247.43725698126548
15897,Zetaquira,-,3,3,-,1,1,4,0,178.67778439547348,127.1186440677966,0,59.73715651135006,43.51610095735422,85.87376556462002
17,Caldas,40,600,640,38,257,295,935,32.456731120325216,160.63740923986379,128.83666530448733,32.201479573245656,62.29487533753157,55.60152367022831,91.01404244466639
17013,Aguadas,1,19,20,1,7,8,28,32.54149040026033,223.60833235259503,172.8608470181504,34.602076124567475,79.6812749003984,68.52248394004283,120.4560120456012
17042,Anserma,-,26,26,3,11,14,40,0,188.0787037037037,140.45702555237426,68.4150513112885,77.96441987383939,75.7002271006813,108.09350087825969
17050,Aranzazu,-,11,11,1,2,3,14,0,308.641975308642,220,70.62146892655367,47.28132387706856,53.13496280552603,131.5047905316551
17088,Belalcázar,-,3,3,-,-,-,3,0,80.27829810008028,55.11666360462979,0,0,0,27.930360301647895
17174,Chinchiná,4,32,36,-,11,11,47,64.246707356248,168.27934371055954,142.61944378416925,0,51.26532134035513,40.039311323845226,89.15868348667362
17272,Filadelfia,-,2,2,-,-,-,2,0,46.59832246039142,34.66204506065858,0,0,0,17.394329448599755
17380,La Dorada,4,66,70,7,36,43,113,39.404984730568415,253.963367708173,193.6965605025042,69.70028875833914,126.43557054051206,111.64191504829162,151.36293617306276
17388,La Merced,-,5,5,-,1,1,6,0,218.62702229995625,166.05778811026238,0,44.58314757021846,34.23485107839781,101.14632501685773
17001,Manizales,23,294,317,17,122,139,456,49.58713321691137,177.55338680065705,149.55158114234763,37.564079901007595,63.261274247994564,58.37711617046118,101.31667236943258
17433,Manzanares,-,4,4,-,1,1,5,0,60.92916984006092,44.296788482835,0,15.223017202009437,11.215791834903543,27.861361863367883
17442,Marmato,1,6,7,-,3,3,10,64.0614990390775,190.90041361756283,148.8095238095238,0,95.48058561425843,66.03565925599824,108.14318157240186
17444,Marquetalia,-,1,1,-,-,-,1,0,20.68680182043856,14.62629808395495,0,0,0,7.349698662354843
17446,Marulanda,-,3,3,-,-,-,3,0,313.4796238244514,221.72949002217294,0,0,0,116.91348402182386
17486,Neira,-,4,4,-,1,1,5,0,51.80676078228209,37.54458419373005,0,12.442453651860149,9.3976130062964,23.479690068091102
17495,Norcasia,-,1,1,1,1,2,3,0,48.44961240310077,32.56268316509281,108.45986984815619,45.703839122486286,64.30868167202573,48.53583562530335
17513,Pácora,-,7,7,-,1,1,8,0,116.45316918981867,89.97429305912597,0,16.764459346186086,13.02931596091205,51.76318343578131
17524,Palestina,-,9,9,-,8,8,17,0,154.0041067761807,112.73957158962796,0,138.50415512465375,102.14504596527068,107.49288650015808
17541,Pensilvania,-,1,1,-,2,2,3,0,13.814062715844731,9.963136395337251,0,27.83576896311761,20.22858298776171,15.057217426219635
17614,Riosucio,1,20,21,-,9,9,30,13.83700013837,106.81478316599018,80.92173711995684,0,45.822514128608525,34.01360544217687,57.23989238900231
17616,Risaralda,-,10,10,-,1,1,11,0,241.77949709864606,179.53321364452424,0,26.191723415400734,19.650225977598744,103.19917440660474
17653,Salamina,-,26,26,5,14,19,45,0,349.9798088571813,265.333197265027,230.09664058904738,184.52616317385,194.672131147541,230.07311212229664
17662,Samaná,1,6,7,-,1,1,8,32.40440699935191,83.98656215005599,68.42619745845552,0,14.24298532972511,10.092854259184497,39.72589134968716
17665,San José,-,-,-,-,1,1,1,0,0,0,0,57.33944954128441,41.42502071251035,20.169423154497782
17777,Supía,1,14,15,1,6,7,22,23.872045834328002,135.55383423702554,103.32713370531101,26.198585276395075,53.163211057947905,46.34840760113885,74.27413909520594
17867,Victoria,-,2,2,-,2,2,4,0,54.318305268875605,38.84249368809478,0,52.60389268805891,37.8000378000378,38.31417624521073
17873,Villamaría,4,27,31,2,12,14,45,48.01920768307323,110.574166598411,94.66226945156957,25.624599615631006,43.68879018458514,39.691540031753235,66.1570126433402
17877,Viterbo,-,1,1,-,4,4,5,0,21.720243266724587,16.278691193228063,0,74.86430844095078,58.651026392961874,38.5713183676618
18,Caquetá,14,294,308,15,154,169,477,18.643300396835965,219.4422881710157,147.31907973406035,20.989001763076146,114.66438330665275,82.13013495584897,114.98381307537105
18029,Albania,-,-,-,-,1,1,1,0,0,0,0,69.54102920723227,45.64125969876768,22.512381809995496
18094,Belén de los Andaquíes,-,3,3,-,2,2,5,0,87.33624454148472,53.57142857142858,0,54.61496450027307,35.106196243637,44.25953793042401
18150,Cartagena del Chairá,-,5,5,-,10,10,15,0,52.89326139849783,31.232431757136613,0,109.81770261366131,64.63706289186219,47.64930114358323
18205,Curillo,-,4,4,-,1,1,5,0,169.13319238900633,102.43277848911652,0,41.54549231408392,25.322866548493288,63.661828367710726
18247,El Doncello,1,4,5,-,2,2,7,29.078220412910728,65.17842594101353,52.21386800334169,0,29.94908655286014,20.185708518368994,35.92691439129542
18256,El Paujíl,1,7,8,-,1,1,9,28.17695125387433,117.44966442953019,84.13082343043432,0,17.14089818306479,10.92896174863388,48.23409614663166
18001,Florencia,10,237,247,15,123,138,385,36.18992472495657,402.8899277518062,285.6911528274171,57.1864277544796,197.90191787874886,156.14039057726688,220.2025863794691
18410,La Montañita,-,4,4,-,-,-,4,0,84.90766291657822,51.686264375242274,0,0,0,26.946914578280786
18460,Milán,1,1,2,-,1,1,3,44.072278536800354,34.28179636612958,38.565368299267256,0,37.20238095238095,20.529665366454527,29.829969175698515
18479,Morelia,-,2,2,-,-,-,2,0,156.00624024961,105.42962572482868,0,0,0,52.826201796090864
18592,Puerto Rico,-,8,8,-,1,1,9,0,95.99232061435085,59.71040453799074,0,12.103606874848705,7.601094557616297,33.893198764781204
18610,San José del Fragua,-,4,4,-,5,5,9,0,98.74105159219945,59.755004481625335,0,125.53351744915892,76.41754546843956,67.99123668504949
18753,San Vicente del Caguán,1,13,14,-,4,4,18,9.441979038806533,76.57869934024505,50.7853593064171,0,25.701985478378205,15.635994058322257,33.86705300193795
18756,Solano,-,1,1,-,-,-,1,0,26.81684097613301,15.790304752881731,0,0,0,8.602150537634408
18785,Solita,-,-,-,-,2,2,2,0,0,0,0,102.51153254741158,63.09148264984228,31.191515907673114
18860,Valparaíso,-,1,1,-,1,1,2,0,43.15925766076823,26.975991367682763,0,46.53327128897162,29.282576866764273,28.08199943836001
85,Casanare,44,462,506,27,219,246,752,60.84659743061414,310.69266980497645,228.94580861759266,38.89761283909355,147.1655511652286,112.72768931149042,171.20558785897396
85010,Aguazul,2,48,50,4,24,28,78,32.37293622531564,369.145581788818,260.6746259319118,69.36015259233571,178.94422904861318,145.99301319151155,203.33680917622524
85125,Hato Corozal,3,11,14,1,3,4,18,122.00081333875559,281.2579902838149,219.78021978021977,41.89359028068706,86.65511265164645,68.38775859121218,147.3115639577707
85139,Maní,-,23,23,-,8,8,31,0,373.0132987349984,249.83706278514012,0,141.1183630269889,95.0344499881207,175.89650476622788
85162,Monterrey,-,4,4,1,2,3,7,0,64.62035541195478,44.37049362174154,35.62522265764161,31.481189988981583,32.751091703056765,38.514442916093536
85225,Nunchía,-,5,5,-,2,2,7,0,155.18311607697083,105.75296108291032,0,74.54342154304882,49.200492004920044,79.60877971113385
85230,Orocué,-,2,2,-,2,2,4,0,49.813200498132005,30.53435114503817,0,53.46164127238706,32.1646831778707,31.32832080200501
85250,Paz de Ariporo,4,45,49,2,13,15,64,58.72852738217589,365.764447695684,256.3565972585539,30.6044376434583,107.96445477950336,80.74935400516796,169.8063146723269
85263,Pore,-,7,7,-,9,9,16,0,176.14494212380473,112.32349165596919,0,235.6020942408377,151.56618390030312,131.4708299096138
85300,Sabanalarga,-,3,3,-,2,2,5,0,234.92560689115115,163.66612111292963,0,154.08320493066256,113.05822498586771,138.811771238201
