CASOS Y TASAS X 100.00 HABITANTES",PRESUNTO DELITO SEXUAL (CASOS),PRESUNTO DELITO SEXUAL (CASOS).1,PRESUNTO DELITO SEXUAL (CASOS).2,PRESUNTO DELITO SEXUAL (CASOS).3,PRESUNTO DELITO SEXUAL (CASOS).4,PRESUNTO DELITO SEXUAL (CASOS).5,PRESUNTO DELITO SEXUAL (CASOS).6,PRESUNTO DELITO SEXUAL (CASOS).7,PRESUNTO DELITO SEXUAL (CASOS).8,PRESUNTO DELITO SEXUAL (TASAS),PRESUNTO DELITO SEXUAL (TASAS).1,PRESUNTO DELITO SEXUAL (TASAS).2,PRESUNTO DELITO SEXUAL (TASAS).3,PRESUNTO DELITO SEXUAL (TASAS).4,PRESUNTO DELITO SEXUAL (TASAS).5,PRESUNTO DELITO SEXUAL (TASAS).6,PRESUNTO DELITO SEXUAL (TASAS).7,PRESUNTO DELITO SEXUAL (TASAS).8
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5885,Yalí,1,-,-,1,1,-,-,1,2,82.44023083264634,0,-,24.838549428713364,87.41258741258741,0,-,26.497085320614733,25.641025641025642
5887,Yarumal,3,-,-,3,19,2,-,21,24,45.37891393132657,0,-,14.222053664549161,290.9647779479326,12.725884448969204,-,94.39899307740717,55.376095985233036
5890,Yolombó,1,-,-,1,10,2,-,12,13,27.442371020856204,0,-,8.224360555966774,298.2403817476886,23.929169657812874,-,102.46776534881737,54.461667364893174
5893,Yondó,-,-,-,-,8,2,-,10,10,0,0,-,0,211.64021164021165,32.43593902043464,-,100.54293183189222,48.957211397238815
5895,Zaragoza,-,-,-,-,5,-,-,5,5,0,0,-,0,98.00078400627206,0,-,38.10685161191982,19.152685206465947
81,Arauca,23,2,-,25,209,26,-,235,260,43.626707132018204,2.0379880981495067,-,16.57209524314578,411.0693704148064,26.11202056823774,-,156.23545680588242,86.30132439340127
81001,Arauca,10,1,-,11,80,13,-,93,104,63.25510784995888,2.9950880555888344,-,22.359086936195297,518.6385737439222,37.6582370151502,-,186.20109718495976,104.89898429541168
81065,Arauquita,5,-,-,5,40,2,-,42,47,45.06940688660537,0,-,16.692261467583627,395.0227138060439,11.440338634023568,-,152.12981744421907,81.65108926027587
81220,Cravo Norte,-,-,-,-,-,1,-,1,1,0,0,-,0,0,71.83908045977012,-,49.28536224741252,23.573785950023574
81300,Fortul,1,-,-,1,17,-,-,17,18,25.84647195657793,0,-,9.726680284019064,437.8058202420809,0,-,164.28295322767684,87.25580493480052
81591,Puerto Rondón,-,-,-,-,3,-,-,3,3,0,0,-,0,371.74721189591077,0,-,122.85012285012284,59.57108816521049
81736,Saravena,3,-,-,3,41,4,-,45,48,27.247956403269757,0,-,9.531676939696258,370.40383051766196,18.20084633935478,-,136.17381831386552,74.39553626782394
81794,Tame,4,1,-,5,28,6,-,34,39,42.68943436499467,6.339948012426299,-,19.886250646303147,314.7482014388489,37.26939561463445,-,136.0272054410882,77.78531253739678
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2,1,-,3,19,8,-,27,30,22.872827081427264,4.4543429844097995,-,9.617234083477591,224.6659571952229,31.973142560249393,-,80.64997909074616,46.38792676892627
88564,Providencia,-,-,-,-,2,-,-,2,2,0,0,-,0,224.97187851518564,0,-,61.33088009812941,31.466331025802393
88001,San Andrés,2,1,-,3,17,8,-,25,28,25.506950644050505,4.936321453253036,-,10.676536531549166,224.63002114164902,35.32164775486776,-,82.7348843366317,48.01426709650868
8,Atlántico,101,13,-,114,714,149,-,863,977,24.201645232635318,1.3933906124058926,-,8.44254956109851,177.14352346903584,14.639806715249865,-,60.73888893580962,35.25626105366782
8078,Baranoa,1,-,-,1,26,3,-,29,30,9.602458229306702,0,-,2.9352197011946344,260.10404161664667,12.397206496136205,-,84.80772042696302,43.94702918082737
8001,Barranquilla,54,9,-,63,382,84,-,466,529,29.95091378019357,2.037905033625433,-,10.129838806930096,215.88019214467363,16.860461615352655,-,69.02098326759553,40.783851753397244
8137,Campo de la Cruz,-,1,-,1,5,1,-,6,7,0,12.873326467559217,-,8.340283569641368,125.09382036527394,12.496875781054737,-,50.00416701391783,29.18004085205719
8141,Candelaria,2,-,-,2,7,1,-,8,10,63.451776649746186,0,-,22.484541877459247,239.8081534772182,17.568517217146873,-,92.9044245732203,57.12327202102136
8296,Galapa,7,-,-,7,16,8,-,24,31,59.19161170302723,0,-,20.463647791387725,147.2076547980495,34.543805863811045,-,70.53015163982603,45.431230307027185
8372,Juan de Acosta,-,-,-,-,5,-,-,5,5,0,0,-,0,152.95197308045275,0,-,44.74673348845534,21.58521844241064
8421,Luruaco,-,-,-,-,3,-,-,3,3,0,0,-,0,57.12109672505713,0,-,19.39362596160062,9.720377150633444
8433,Malambo,2,-,-,2,33,8,-,41,43,8.474935378617738,0,-,2.836396641706376,143.03051317614424,16.4911051101812,-,57.276168922788926,30.261444808050953
8436,Manatí,1,-,-,1,5,-,-,5,6,23.651844843897823,0,-,8.96941429724639,131.68290755859888,0,-,46.81209624566988,27.485112230874943
8520,Palmar de Varela,1,-,-,1,9,1,-,10,11,20.580366330520683,0,-,6.313131313131313,189.91348385735387,9.078529278256921,-,63.475942617747876,34.81673735519402
8549,Piojó,-,-,-,-,2,1,-,3,3,0,0,-,0,188.14675446848543,42.08754208754208,-,87.23466123873219,41.57427937915743
8558,Polonuevo,-,-,-,-,10,2,-,12,12,0,0,-,0,324.9918752031199,29.585798816568047,-,121.98841110094541,60.30453791647821
8560,Ponedera,-,-,-,-,7,1,-,8,8,0,0,-,0,159.27189988623437,11.851149561507466,-,62.33928153978025,30.541345346262503
8573,Puerto Colombia,2,-,-,2,8,3,-,11,13,25.33569799847986,0,-,7.529270037269886,106.42543567912732,14.604936468526361,-,39.204504954023804,23.800369821131067
8606,Repelón,-,-,-,-,3,-,-,3,3,0,0,-,0,63.843370929985106,0,-,20.970222284356215,10.48731035447109
8634,Sabanagrande,1,-,-,1,5,1,-,6,7,17.7999288002848,0,-,5.623348141483439,88.7784090909091,8.126777732629012,-,33.45040976751965,19.59686450167973
8638,Sabanalarga,4,-,-,4,24,2,-,26,30,23.873470605789315,0,-,7.918126571253242,149.56066554496167,5.669094928994586,-,50.65658730467989,29.457105544809167
8675,Santa Lucía,-,-,-,-,1,-,-,1,1,0,0,-,0,33.41129301703976,0,-,11.441647597254006,5.743825387708214
8685,Santo Tomás,1,-,-,1,9,2,-,11,12,21.21790791427965,0,-,6.220452848967405,195.27012367107832,16.82227268904029,-,66.6747484543581,36.839196905507464
8758,Soledad,24,3,-,27,143,30,-,173,200,22.537115812603883,1.3409499289296538,-,8.176540596524061,141.238752753168,12.214486380847685,-,49.87646205785093,29.53904323038977
8770,Suan,-,-,-,-,5,-,-,5,5,0,0,-,0,228.51919561243145,0,-,76.44091117566121,39.07165741970775
8832,Tubará,-,-,-,-,3,1,-,4,4,0,0,-,0,106.38297872340426,15.45833977430824,-,43.061685865001614,20.8474487934539
8849,Usiacurí,1,-,-,1,3,-,-,3,4,50.76142131979696,0,-,14.585764294049007,156.57620041753654,0,-,45.984058859595336,29.895366218236177
11,"Bogotá, D.C.",474,63,-,537,2861,786,-,3647,4184,52.62316485039034,2.209902115367414,-,14.314087327661188,329.0771462190635,24.461466499150227,-,89.32993486042535,53.40708208032839
11001,"Bogotá, D.C.",474,63,-,537,2861,786,-,3647,4184,52.62316485039034,2.209902115367414,-,14.314087327661188,329.0771462190635,24.461466499150227,-,89.32993486042535,53.40708208032839
13,Bolívar,80,6,-,86,572,113,-,685,771,22.07085295570104,0.8165642785790693,-,7.837740543447056,165.80863596308149,14.659522851990712,-,61.390600158092,34.83862396924441
13006,Achí,-,-,-,-,1,-,-,1,1,0,0,-,0,23.121387283236995,0,-,8.415383320710259,3.95835807307129
13030,Altos del Rosario,-,-,-,-,2,1,-,3,3,0,0,-,0,84.88964346349745,30.339805825242717,-,53.07855626326964,25.518883974140863
13042,Arenal,-,-,-,-,5,-,-,5,5,0,0,-,0,355.36602700781805,0,-,131.19916032537392,63.371356147021544
13052,Arjona,4,-,-,4,14,3,-,17,21,32.6211058554885,0,-,10.825146816053692,116.3563829787234,11.61170459823502,-,44.89278546530052,28.067736804822303
13062,Arroyohondo,-,-,-,-,1,-,-,1,1,0,0,-,0,71.22507122507123,0,-,22.779043280182233,11.313497001923293
13074,Barranco de Loba,-,-,-,-,4,1,-,5,5,0,0,-,0,132.18770654329145,22.20741727737064,-,66.40988179041041,32.463316452408776
13140,Calamar,1,-,-,1,4,-,-,4,5,24.313153415998055,0,-,8.476012883539582,104.1395469929706,0,-,34.379028792436614,21.33743011991636
13160,Cantagallo,-,-,-,-,1,-,-,1,1,0,0,-,0,67.34006734006735,0,-,24.125452352231605,11.332728921124207
13001,Cartagena de Indias,50,4,-,54,303,78,-,381,435,31.887958469122893,1.157173026296757,-,10.74693165150487,201.97845563139933,19.92637460051451,-,70.36569847651799,41.66962026043992
13188,Cicuco,-,-,-,-,4,-,-,4,4,0,0,-,0,150.88645794039985,0,-,55.749128919860624,27.561496589264795
13222,Clemencia,-,-,-,-,4,-,-,4,4,0,0,-,0,144.56089627755694,0,-,51.59958720330237,25.508577259103372
13212,Córdoba,-,-,-,-,2,1,-,3,3,0,0,-,0,76.33587786259542,19.18281220026856,-,38.299502106472616,17.949024769654184
13244,El Carmen de Bolívar,6,-,-,6,35,5,-,40,46,47.288776796973515,0,-,15.789889207610727,292.9115407147042,21.092596498628982,-,112.18937566612442,62.45502559298332
13268,El Peñón,-,-,-,-,4,-,-,4,4,0,0,-,0,271.55465037338763,0,-,102.53781081773904,48.816206980717595
13300,Hatillo de Loba,-,-,-,-,1,-,-,1,1,0,0,-,0,38.940809968847354,0,-,15.470297029702971,7.57346258709482
13430,Magangué,6,1,-,7,49,7,-,56,63,24.30035235510915,2.1503988989957636,-,9.832289237857122,212.2590426683994,14.607679465776293,-,78.86768537426941,44.304109030302605
13433,Mahates,1,-,-,1,7,2,-,9,10,20.2020202020202,0,-,6.564264145989235,148.58841010401187,20.316944331572532,-,61.83442116111301,33.56943838329585
13440,Margarita,1,-,-,1,-,-,-,-,1,51.89413596263622,0,-,16.972165648336727,0,0,-,0,8.87154009936125
13442,María la Baja,1,-,-,1,21,5,-,26,27,10.748065348237317,0,-,4.040567295648309,243.11183144246354,31.69371196754564,-,106.49627263045794,54.91934991762097
13468,Mompós,-,-,-,-,11,2,-,13,13,0,0,-,0,136.37490701710885,12.755102040816327,-,54.74606249473595,27.61022852773766
13458,Montecristo,-,-,-,-,4,-,-,4,4,0,0,-,0,121.76560121765603,0,-,49.813200498132005,22.391401701746528
13473,Morales,-,-,-,-,1,-,-,1,1,0,0,-,0,23.741690408357076,0,-,8.991997122560921,4.221546774738265
13490,Norosí,-,-,-,-,1,-,-,1,1,0,0,-,0,50.91649694501018,0,-,21.123785382340515,9.900990099009901
13549,Pinillos,-,-,-,-,2,-,-,2,2,0,0,-,0,43.24324324324324,0,-,16.764459346186086,7.978935609989628
13580,Regidor,-,-,-,-,1,-,-,1,1,0,0,-,0,67.34006734006735,0,-,27.270248159258248,13.635124079629124
13620,San Cristóbal,-,-,-,-,4,-,-,4,4,0,0,-,0,295.2029520295203,0,-,92.22965183306434,45.998160073597056
13647,San Estanislao,-,-,-,-,5,-,-,5,5,0,0,-,0,165.4533421575116,0,-,51.51983513652757,25.763899623847067
13650,San Fernando,-,-,-,-,3,-,-,3,3,0,0,-,0,131.11888111888112,0,-,46.801872074883,22.701475595913735
13655,San Jacinto del Cauca,-,-,-,-,2,-,-,2,2,0,0,-,0,104.22094841063053,0,-,39.35458480913026,18.51851851851852
13654,San Jacinto,-,-,-,-,7,-,-,7,7,0,0,-,0,181.62947586922678,0,-,57.32536237818361,28.101164191087918
13657,San Juan Nepomuceno,1,-,-,1,9,2,-,11,12,16.983695652173914,0,-,5.010522096402445,158.7861679604799,14.854426619132502,-,57.49529583943132,30.69838833461243
13667,San Martín de Loba,1,-,-,1,4,1,-,5,6,32.25806451612903,0,-,12.613521695257315,150.20653398422832,22.10921954455008,-,69.5797383801837,39.69829297340214
13670,San Pablo,1,-,-,1,1,-,-,1,2,17.61493746697199,0,-,6.771397616468039,18.08972503617945,0,-,6.94589150517469,6.857534716269501
13673,Santa Catalina,1,-,-,1,5,-,-,5,6,38.16793893129771,0,-,13.271400132714001,203.5830618892508,0,-,65.52221202987812,39.56217855729922
13688,Santa Rosa del Sur,-,1,-,1,4,1,-,5,6,0,8.84486113568017,-,5.557408024897188,62.34413965087282,9.372949667260286,-,29.2654375182909,17.104250406225948
13683,Santa Rosa,-,-,-,-,5,1,-,6,6,0,0,-,0,131.3370107696349,12.993762993762994,-,52.160306007128575,26.385224274406333
13744,Simití,-,-,-,-,2,1,-,3,3,0,0,-,0,61.27450980392157,16.795431642593215,-,32.54502061184639,15.443220426232884
13760,Soplaviento,-,-,-,-,1,-,-,1,1,0,0,-,0,61.27450980392157,0,-,17.86352268667381,9.09338910611985
13780,Talaigua Nuevo,2,-,-,2,4,-,-,4,6,81.36696501220504,0,-,29.81959147159684,160.51364365971108,0,-,60.00600060006001,44.86652209676213
13810,Tiquisio,-,-,-,-,6,-,-,6,6,0,0,-,0,150.41363750313363,0,-,65.359477124183,31.06393994304944
13836,Turbaco,3,-,-,3,16,1,-,17,20,16.798252981689906,0,-,5.281132274759709,94.56823689343341,2.4159841511439684,-,29.154518950437318,17.373779491990685
13838,Turbaná,-,-,-,-,1,1,-,2,2,0,0,-,0,37.821482602118,16.644474034620508,-,23.11604253351826,11.319259720414285
13873,Villanueva,-,-,-,-,8,-,-,8,8,0,0,-,0,183.4862385321101,0,-,63.99488040956723,31.24511795032026
13894,Zambrano,1,-,-,1,3,-,-,3,4,45.02476361999099,0,-,14.98576352465158,154.95867768595042,0,-,51.4668039114771,31.994880819068946
15,Boyacá,49,10,-,59,423,143,-,566,625,27.479306399874382,2.282062984938384,-,9.569905728318487,251.88616888878303,30.606173457812705,-,89.11154529810646,49.933089659855796
15047,Aquitania,-,-,-,-,3,2,-,5,5,0,0,-,0,124.17218543046359,38.07348181991243,-,65.19754857217369,31.93663771078181
15051,Arcabuco,-,-,-,-,2,-,-,2,2,0,0,-,0,226.24434389140274,0,-,66.42311524410495,33.21707357581797
15087,Belén,-,-,-,-,3,-,-,3,3,0,0,-,0,287.6318312559923,0,-,75.68113017154388,39.55174686882004
15092,Betéitiva,-,-,-,-,1,-,-,1,1,0,0,-,0,440.5286343612335,0,-,100.80645161290322,51.3083632632119
15104,Boyacá,-,-,-,-,4,-,-,4,4,0,0,-,0,565.7708628005657,0,-,161.16035455278,77.60962359332557
15109,Buenavista,-,-,-,-,1,-,-,1,1,0,0,-,0,181.15942028985506,0,-,47.192071731949035,22.588660492432798
15131,Caldas,-,-,-,-,1,-,-,1,1,0,0,-,0,235.84905660377356,0,-,62.893081761006286,31.76620076238882
15162,Cerinza,-,-,-,-,1,1,-,2,2,0,0,-,0,236.96682464454977,66.62225183211193,-,104.00416016640666,53.59056806002143
15176,Chiquinquirá,2,2,-,4,20,5,-,25,29,23.304591004427873,10.364842454394694,-,14.348231580457707,243.51637647631804,22.456770716370986,-,82.02637968370628,49.69497566659812
15232,Chíquiza,-,-,-,-,1,1,-,2,2,0,0,-,0,138.50415512465375,62.266500622665006,-,85.91065292096219,41.85851820845542
15185,Chitaraque,-,-,-,-,8,-,-,8,8,0,0,-,0,892.8571428571428,0,-,280.99754127151385,135.45546901456146
15187,Chivatá,-,-,-,-,1,-,-,1,1,0,0,-,0,200,0,-,70.17543859649122,35.038542396636295
15236,Chivor,-,-,-,-,1,-,-,1,1,0,0,-,0,323.62459546925567,0,-,85.91065292096219,39.308176100628934
15189,Ciénega,1,-,-,1,3,2,-,5,6,136.6120218579235,0,-,43.084877208099954,414.36464088397787,121.72854534388314,-,211.23785382340515,127.98634812286689
15204,Cómbita,1,1,-,2,4,1,-,5,7,66.75567423230974,14.639145073927683,-,24.012486492976347,289.22631959508317,27.285129604365622,-,99.04912836767036,52.32862375719519
15212,Coper,-,-,-,-,1,-,-,1,1,0,0,-,0,213.67521367521368,0,-,58.17335660267597,27.808676307007786
15215,Corrales,2,-,-,2,-,-,-,-,2,518.1347150259068,0,-,151.86028853454823,0,0,-,0,78.03355442840422
15224,Cucaita,1,-,-,1,2,1,-,3,4,168.35016835016833,0,-,51.78663904712584,344.2340791738382,76.80491551459293,-,159.32023366967604,104.8767697954903
15226,Cuítiva,-,-,-,-,1,1,-,2,2,0,0,-,0,355.8718861209964,152.20700152207002,-,213.21961620469082,109.70927043335162
15238,Duitama,7,2,-,9,37,21,-,58,67,41.866028708133975,4.540707442219498,-,14.810913997959386,236.15011488383968,41.04929825247273,-,86.79256576781492,52.51112922440278
15272,Firavitoba,1,-,-,1,-,-,-,-,1,109.40919037199124,0,-,29.86857825567503,0,0,-,0,14.596409283316303
15276,Floresta,-,1,-,1,-,3,-,3,4,0,87.87346221441125,-,64.9772579597141,0,225.5639097744361,-,174.9271137026239,122.9256299938537
15293,Gachantivá,-,-,-,-,2,-,-,2,2,0,0,-,0,519.4805194805194,0,-,150.71590052750565,71.4796283059328
15296,Gámeza,1,-,-,1,2,1,-,3,4,117.50881316098707,0,-,40,274.3484224965706,60.386473429951685,-,125.78616352201257,81.88331627430911
15299,Garagoa,1,-,-,1,11,1,-,12,13,43.029259896729776,0,-,11.392116655274549,487.58865248226954,13.475272874275703,-,124.00537356618787,70.44161473855324
15322,Guateque,-,-,-,-,1,2,-,3,3,0,0,-,0,78.24726134585289,44.45432318292954,-,51.93006750908776,27.319916218923595
15325,Guayatá,-,-,-,-,-,1,-,1,1,0,0,-,0,0,72.93946024799416,-,58.41121495327102,29.282576866764273
15362,Iza,-,-,-,-,2,-,-,2,2,0,0,-,0,784.313725490196,0,-,198.21605550049554,99.50248756218905
15367,Jenesano,-,-,-,-,3,-,-,3,3,0,0,-,0,273.7226277372263,0,-,79.87220447284345,40.59539918809202
15403,La Uvita,2,-,-,2,1,-,-,1,3,593.4718100890208,0,-,142.45014245014247,298.5074626865672,0,-,74.34944237918215,109.13059294288831
15425,Macanal,-,-,-,-,3,1,-,4,4,0,0,-,0,483.0917874396135,52.71481286241434,-,158.85623510722795,78.30853563038372
15442,Maripí,-,-,-,-,2,-,-,2,2,0,0,-,0,263.1578947368421,0,-,78.30853563038372,34.946706272933774
15455,Miraflores,-,-,-,-,5,1,-,6,6,0,0,-,0,505.5611729019211,28.328611898016995,-,132.77273733126796,66.08657341116863
15466,Monguí,-,-,-,-,1,-,-,1,1,0,0,-,0,149.47683109118088,0,-,43.7636761487965,23.137436372049976
15469,Moniquirá,3,-,-,3,6,4,-,10,13,95.08716323296355,0,-,26.098303610265333,206.46937370956644,45.45971133083305,-,85.43357539513029,56.03448275862068
15476,Motavita,1,-,-,1,7,-,-,7,8,101.93679918450562,0,-,35.373187124159884,710.6598984771574,0,-,239.97257456290708,139.2757660167131
15480,Muzo,1,-,-,1,2,1,-,3,4,84.45945945945947,0,-,21.973192704900022,169.63528413910092,36.72420124862284,-,76.88364941055869,47.32047793682716
15491,Nobsa,1,-,-,1,5,-,-,5,6,42.57130693912303,0,-,12.55020080321285,224.82014388489208,0,-,58.153058850895555,36.218761318362915
15494,Nuevo Colón,-,-,-,-,3,-,-,3,3,0,0,-,0,423.728813559322,0,-,117.73940345368916,57.099352874000765
15500,Oicatá,1,-,-,1,1,2,-,3,4,208.76826722338203,0,-,67.6132521974307,266.6666666666667,189.2147587511826,-,209.49720670391062,137.4098248024734
15507,Otanche,1,-,-,1,1,3,-,4,5,78.4313725490196,0,-,24.2306760358614,81.23476848090982,110.98779134295228,-,101.67768174885613,62.027043791092915
15511,Pachavita,-,-,-,-,2,-,-,2,2,0,0,-,0,738.0073800738007,0,-,167.64459346186086,81.36696501220504
15516,Paipa,-,-,-,-,15,3,-,18,18,0,0,-,0,329.5254833040422,22.18770800976259,-,99.5960825540862,51.53015945721565
15518,Pajarito,-,-,-,-,1,-,-,1,1,0,0,-,0,288.1844380403458,0,-,85.47008547008546,41.135335252982316
15531,Pauna,-,-,-,-,3,-,-,3,3,0,0,-,0,326.0869565217391,0,-,85.83690987124463,41.30524576621231
15537,Paz de Río,-,-,-,-,1,-,-,1,1,0,0,-,0,190.11406844106463,0,-,46.468401486988846,23.651844843897823
15542,Pesca,-,-,-,-,1,-,-,1,1,0,0,-,0,101.01010101010101,0,-,30.012004801920767,14.753614635585718
15572,Puerto Boyacá,2,1,-,3,25,7,-,32,35,26.66311158512198,6.02918123718799,-,12.454851164528582,338.43238121023415,40.821087007231164,-,130.4259221520277,71.98387561186294
15599,Ramiriquí,2,-,-,2,4,-,-,4,6,133.95847287340925,0,-,39.769337840524955,259.9090318388564,0,-,78.15552950371239,59.13077756972503
15600,Ráquira,-,-,-,-,4,-,-,4,4,0,0,-,0,372.7865796831314,0,-,104.8767697954903,49.474335188620906
15632,Saboyá,-,-,-,-,5,3,-,8,8,0,0,-,0,231.16042533518262,60.39863096436481,-,112.20196353436185,57.360005736000566
15638,Sáchica,-,-,-,-,1,-,-,1,1,0,0,-,0,114.02508551881414,0,-,35.829451809387315,17.488632388947185
15646,Samacá,-,-,-,-,10,2,-,12,12,0,0,-,0,323.41526520051747,31.51591553734636,-,127.14558169103624,63.30783434450013
15664,San José de Pare,2,-,-,2,3,-,-,3,5,291.5451895043732,0,-,76.19047619047619,490.19607843137254,0,-,124.53300124533001,99.32459276916966
15667,San Luis de Gaceno,-,-,-,-,2,-,-,2,2,0,0,-,0,273.972602739726,0,-,74.15647015202076,36.2844702467344
15681,San Pablo de Borbur,-,-,-,-,-,3,-,3,3,0,0,-,0,0,146.19883040935673,-,97.21322099805573,44.352454169130695
15693,Santa Rosa de Viterbo,1,-,-,1,6,1,-,7,8,63.371356147021544,0,-,14.267370523612499,392.6701570680628,20.48340843916428,-,109.204368174727,59.61696102541173
15696,Santa Sofía,-,-,-,-,2,-,-,2,2,0,0,-,0,461.8937644341801,0,-,125.7071024512885,61.82380216383308
15686,Santana,1,-,-,1,8,-,-,8,9,86.73026886383347,0,-,24.937655860349125,761.1798287345385,0,-,213.04926764314246,115.9047005795235
15723,Sativasur,1,-,-,1,1,-,-,1,2,704.2253521126761,0,-,194.55252918287937,649.3506493506494,0,-,166.9449081803005,179.69451931716083
15740,Siachoque,-,-,-,-,5,1,-,6,6,0,0,-,0,425.53191489361706,46.97040864255519,-,181.59806295399517,87.95074758135445
15757,Socha,-,-,-,-,2,1,-,3,3,0,0,-,0,163.8001638001638,34.78260869565218,-,73.2421875,36.8414589217733
15759,Sogamoso,4,-,-,4,32,4,-,36,40,23.285597857724994,0,-,6.352735646787898,199.05449116695695,7.54460749179524,-,52.10293223724202,30.289491818051026
15761,Somondoco,1,-,-,1,1,-,-,1,2,387.5968992248062,0,-,70.37297677691767,341.29692832764505,0,-,67.6132521974307,68.9655172413793
15764,Soracá,-,-,-,-,1,-,-,1,1,0,0,-,0,95.23809523809524,0,-,32.53090435914119,16.363933889707084
15763,Sotaquirá,-,-,-,-,5,4,-,9,9,0,0,-,0,388.8024883359254,143.47202295552367,-,220.91310751104564,107.60401721664275
15776,Sutamarchán,-,-,-,-,6,1,-,7,7,0,0,-,0,700.9345794392523,44.169611307420496,-,224.35897435897434,111.58935118762952
15778,Sutatenza,-,-,-,-,2,1,-,3,3,0,0,-,0,431.0344827586207,58.41121495327102,-,137.86764705882354,70.55503292568204
15790,Tasco,-,-,-,-,2,-,-,2,2,0,0,-,0,247.2187886279357,0,-,69.08462867012089,34.287673581347505
15804,Tibaná,-,-,-,-,7,3,-,10,10,0,0,-,0,570.9624796084829,87.28542333430318,-,214.4542140253056,108.88501742160278
15806,Tibasosa,-,-,-,-,4,3,-,7,7,0,0,-,0,233.3722287047841,58.58230814294083,-,102.41404535479151,51.878751945453196
15808,Tinjacá,-,-,-,-,3,-,-,3,3,0,0,-,0,657.8947368421052,0,-,176.57445556209535,88.8888888888889
15814,Toca,-,-,-,-,2,1,-,3,3,0,0,-,0,142.14641080312722,33.222591362126245,-,67.91940230925968,33.49709691826708
15816,Togüí,-,1,-,1,4,2,-,6,7,0,65.44502617801048,-,44.50378282153983,579.7101449275362,139.95801259622112,-,283.1524303916942,160.3298213467705
15820,Tópaga,-,-,-,-,-,1,-,1,1,0,0,-,0,0,74.68259895444362,-,51.75983436853002,26.85284640171858
15822,Tota,-,-,-,-,-,1,-,1,1,0,0,-,0,0,56.72149744753262,-,38.03727653100038,18.975332068311197
15001,Tunja,7,2,-,9,85,35,-,120,129,29.21292045739087,3.2602494090797944,-,10.550130704397061,370.79043796894086,48.38464409638221,-,125.9697042861192,71.4412298967702
15832,Tununguá,-,-,-,-,2,-,-,2,2,0,0,-,0,947.8672985781991,0,-,277.39251040221916,126.0239445494644
15835,Turmequé,-,-,-,-,2,3,-,5,5,0,0,-,0,251.57232704402514,128.36970474967907,-,159.64240102171138,80.64516129032258
15837,Tuta,-,-,-,-,1,1,-,2,2,0,0,-,0,76.92307692307692,32.56268316509281,-,45.75611988103409,23.46591575736243
15842,Úmbita,-,-,-,-,1,-,-,1,1,0,0,-,0,90.41591320072332,0,-,27.114967462039047,13.149243918474687
15861,Ventaquemada,-,-,-,-,5,3,-,8,8,0,0,-,0,204.4153720359771,52.576235541535226,-,98.13542688910697,49.352251696483656
15407,Villa de Leyva,1,-,-,1,2,3,-,5,6,42.680324370465215,0,-,11.95886151638364,89.92805755395683,46.08294930875576,-,57.2475383558507,35.095928872250816
15879,Viracachá,-,-,-,-,1,1,-,2,2,0,0,-,0,268.0965147453083,100.2004008016032,-,145.87892049598833,70.69635913750442
15897,Zetaquira,-,-,-,-,1,-,-,1,1,0,0,-,0,160.25641025641025,0,-,43.51610095735422,21.468441391155004
17,Caldas,70,12,-,82,340,78,-,418,500,56.799279460569124,3.2127481847972756,-,16.50719774213744,288.1185014448296,18.906615861196354,-,78.78453184459468,48.67061093297668
17013,Aguadas,2,-,-,2,5,3,-,8,10,65.08298080052066,0,-,17.28608470181504,173.01038062283737,34.14911781445646,-,68.52248394004283,43.02000430200043
17042,Anserma,3,-,-,3,11,3,-,14,17,64.00682739492213,0,-,16.2065798714278,250.8551881413911,21.263023601956196,-,75.7002271006813,45.93973787326037
17050,Aranzazu,-,-,-,-,3,3,-,6,6,0,0,-,0,211.864406779661,70.92198581560284,-,106.26992561105206,56.359195942137895
17088,Belalcázar,-,-,-,-,4,-,-,4,4,0,0,-,0,262.8120893561104,0,-,75.50018875047188,37.24048040219719
17174,Chinchiná,2,1,-,3,5,1,-,6,9,32.123353678124,5.258729490954986,-,11.884953648680769,83.11170212765957,4.660483758214102,-,21.839624358461034,17.072939391065162
17272,Filadelfia,-,-,-,-,2,-,-,2,2,0,0,-,0,139.56734124214933,0,-,34.91620111731844,17.394329448599755
