 DIVIPOLA,"SUICIDIOS EN COLOMBIA AÑO 2020

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - SUICIDIO (CASOS),VIOLENTA - SUICIDIO (CASOS).1,VIOLENTA - SUICIDIO (CASOS).2,VIOLENTA - SUICIDIO (CASOS).3,VIOLENTA - SUICIDIO (CASOS).4,VIOLENTA - SUICIDIO (CASOS).5,VIOLENTA - SUICIDIO (CASOS).6,VIOLENTA - SUICIDIO (TASAS),VIOLENTA - SUICIDIO (TASAS).1,VIOLENTA - SUICIDIO (TASAS).2,VIOLENTA - SUICIDIO (TASAS).3,VIOLENTA - SUICIDIO (TASAS).4,VIOLENTA - SUICIDIO (TASAS).5,VIOLENTA - SUICIDIO (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
5282,Fredonia,-,1,1,-,-,-,1,0,10.428616122640525,8.487523340689187,0,0,0,4.277342914581462
5284,Frontino,-,1,1,-,-,-,1,0,15.603058199407084,10.958904109589042,0,0,0,5.466273095003826
5308,Girardota,-,1,1,-,-,-,1,0,4.961055712655654,4.011070554731058,0,0,0,1.9560667409972028
5313,Granada,-,1,1,-,-,-,1,0,31.695721077654518,23.014959723820482,0,0,0,11.390818999886092
5318,Guarne,-,5,5,-,1,1,6,0,23.157797230327454,18.667861409796895,0,4.378283712784588,3.6367603738589667,11.053591496103609
5353,Hispania,-,1,1,-,-,-,1,0,48.80429477794046,38.69969040247678,0,0,0,19.301293186643505
5360,Itagüí,-,10,10,-,2,2,12,0,9.3406439439935,7.705466257763256,0,1.6354968230474214,1.3888020887583414,4.382969242513341
5361,Ituango,1,1,2,1,-,1,3,32.77613897082924,7.733952049497293,12.514861397910018,36.79175864606328,0,10.251153254741158,11.656823127137084
5364,Jardín,-,2,2,-,-,-,2,0,36.81885125184094,29.09514111143439,0,0,0,14.434180138568129
5376,La Ceja,-,8,8,-,1,1,9,0,32.153048510911944,25.77817877166978,0,3.675389591296677,3.0164092664092665,14.021749291122674
5380,La Estrella,-,7,7,-,2,2,9,0,24.8403122782115,20.352387044251905,0,6.434799395128857,5.428881650380022,12.634416149591486
5400,La Unión,-,1,1,-,-,-,1,0,12.682308180088777,9.767532721234616,0,0,0,4.810930433945925
5411,Liborina,-,1,1,-,-,-,1,0,27.307482250136534,20.815986677768528,0,0,0,10.695187165775401
5440,Marinilla,-,2,2,-,-,-,2,0,8.435259384226065,6.531252041016263,0,0,0,3.1907086563925846
5001,Medellín,7,136,143,6,24,30,173,3.290478764660258,15.024685779687287,12.79170453488289,2.9026312352147223,2.2635743725654787,2.3678371938287848,7.254000287644173
5480,Mutatá,1,1,2,-,1,1,3,46.25346901017576,23.85496183206107,31.47623544224111,0,24.06159769008662,16.199578810950914,23.948271733056597
5483,Nariño,-,-,-,1,-,1,1,0,0,0,91.57509157509158,0,22.222222222222225,10.9217999126256
5495,Nechí,1,-,1,-,-,-,1,24.94387627837366,0,8.061915511125443,0,0,0,4.164237528108603
5490,Necoclí,-,1,1,-,-,-,1,0,8.028259473346179,5.221932114882507,0,0,0,2.5673940949935816
5579,Puerto Berrío,-,3,3,-,-,-,3,0,20.693936676553772,15.95150741745095,0,0,0,7.973845785822502
5604,Remedios,-,2,2,-,-,-,2,0,21.51694459386767,15.17105362967458,0,0,0,7.550303899731964
5607,Retiro,-,2,2,-,-,-,2,0,21.795989537925024,17.711654268508678,0,0,0,8.606963033093773
5615,Rionegro,-,6,6,2,1,3,9,0,11.210133961100835,9.116047281898568,17.45810055865922,1.745931978490118,4.364779142175406,6.688963210702341
5631,Sabaneta,-,7,7,-,-,-,7,0,21.575638022438664,18.25340947612715,0,0,0,8.438106488903891
5642,Salgar,-,2,2,-,-,-,2,0,30.48780487804878,23.615539024678238,0,0,0,11.860989206499822
5649,San Carlos,-,1,1,-,-,-,1,0,17.812611328820804,13.49892008639309,0,0,0,6.883259911894274
5656,San Jerónimo,-,1,1,-,-,-,1,0,17.319016279875303,13.579576317218901,0,0,0,6.7208817796894955
5659,San Juan de Urabá,1,-,1,-,-,-,1,31.39717425431711,0,11.098779134295228,0,0,0,5.4297659770863875
5667,San Rafael,-,1,1,-,-,-,1,0,18.086453246518357,13.873473917869035,0,0,0,6.91323885240235
5670,San Roque,-,1,1,-,-,-,1,0,13.041210224308815,9.92950054612253,0,0,0,5.032459362890645
5674,San Vicente Ferrer,-,4,4,-,-,-,4,0,47.33167672464797,36.92421305270931,0,0,0,19.22522349322311
5679,Santa Bárbara,-,2,2,-,-,-,2,0,19.76284584980237,15.74555188159345,0,0,0,7.789678675754625
5042,Santa Fé de Antioquia,-,2,2,-,-,-,2,0,20.995171110644552,16.11733419292449,0,0,0,7.985307035055498
5686,Santa Rosa de Osos,-,1,1,-,-,-,1,0,7.671064743786438,5.799791207516529,0,0,0,2.8768699654775602
5690,Santo Domingo,-,1,1,-,-,-,1,0,21.299254526091584,16.747613465081226,0,0,0,8.688852202624034
5736,Segovia,1,1,2,2,-,2,4,20.329335230737954,7.819219641879741,11.294330246216399,43.271311120726956,0,11.181930001118193,11.237849075686913
5756,Sonsón,-,2,2,-,-,-,2,0,15.416634548678022,11.761938367442955,0,0,0,5.897443458260844
5761,Sopetrán,-,1,1,-,-,-,1,0,17.34304543877905,13.815971262779772,0,0,0,6.938180808991882
5837,Turbo,1,1,2,-,1,1,3,5.349309939017867,2.756415557209405,3.638149637094574,0,2.373999952520001,1.6643365954330605,2.6074032870664103
5842,Uramita,-,1,1,-,-,-,1,0,43.23389537397319,31.357792411414234,0,0,0,16.108247422680414
5847,Urrao,-,9,9,1,-,1,10,0,89.82932428386066,65.01011268419532,27.04895861509332,0,7.144898542440697,35.91954022988506
5861,Venecia,-,1,1,-,-,-,1,0,22.737608003638016,18.460402436773123,0,0,0,8.95335303071
5887,Yarumal,-,2,2,-,-,-,2,0,14.132278123233464,10.450958875476825,0,0,0,5.072537283149031
5890,Yolombó,-,3,3,-,-,-,3,0,35.90234561991383,27.068483262654517,0,0,0,13.79246931175578
5893,Yondó,-,2,2,-,-,-,2,0,30.98853424233034,22.043425548330212,0,0,0,11.330802787377486
81,Arauca,2,16,18,2,6,8,26,5.450779461462989,16.723806338322603,13.59886373938533,5.660110372152257,6.2102158049992235,6.062902614626752,9.836785035979933
81001,Arauca,-,5,5,-,2,2,7,0,15.382248884786957,11.469731378891106,0,5.966943135031923,4.515080368430558,7.964591700895448
81065,Arauquita,-,2,2,-,-,-,2,0,10.87961703748028,7.677837920841491,0,0,0,3.9975215366472785
81300,Fortul,1,3,4,1,-,1,5,37.664783427495294,48.00768122899664,44.923629829290206,36.913990402362494,0,11.127183709803049,27.947012464367557
81736,Saravena,1,2,3,-,1,1,4,12.92824822236587,10.007505629221917,10.822510822510823,0,4.699689820471849,3.4505365584348366,7.054549302481437
81794,Tame,-,4,4,1,3,4,8,0,25.987525987525988,18.270680126067692,16.252234682268814,19.215987701767872,18.37813002526993,18.324247560584546
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",-,3,3,-,-,-,3,0,13.591265346803787,10.631511800978098,0,0,0,5.104992682843822
88001,San Andrés,-,3,3,-,-,-,3,0,15.05797319680771,11.809163911195087,0,0,0,5.661659243602325
8,Atlántico,4,62,66,2,10,12,78,1.3374571595753575,6.80546149261333,5.45405864600515,0.6893366513404151,1.005114020134444,0.9338187115480692,3.1260595538391622
8078,Baranoa,-,1,1,-,1,1,2,0,4.32656946307273,3.2663726931242856,0,4.225292601512654,3.23530363324598,3.250763929523438
8001,Barranquilla,3,35,38,-,4,4,42,2.302573509659296,8.117862079842652,6.768346225845464,0,0.8213097015155219,0.6503652613899281,3.5699835780755405
8141,Candelaria,-,1,1,-,-,-,1,0,17.7999288002848,12.746972594008922,0,0,0,6.477103439341926
8296,Galapa,-,3,3,1,-,1,4,0,13.72369624885636,9.9104753724687,12.88992008249549,0,3.292181069958848,6.595653464366982
8421,Luruaco,-,1,1,-,-,-,1,0,10.156408693885842,7.341065922771986,0,0,0,3.65644082050532
8433,Malambo,-,3,3,1,-,1,4,0,6.546930580712743,4.775701232130918,6.040836051709557,0,1.5642353235620767,3.1558932361318215
8436,Manatí,1,-,1,-,-,-,1,33.840947546531304,0,10.300782859497321,0,0,0,5.221932114882507
8520,Palmar de Varela,-,1,1,-,1,1,2,0,9.324878776575906,7.052683546089288,0,9.292816652727442,7.054673721340388,7.0536784933342735
8573,Puerto Colombia,-,1,1,-,-,-,1,0,5.47855147099107,4.1725778185763165,0,0,0,2.0208143881984437
8606,Repelón,-,1,1,-,1,1,2,0,11.004732034774953,7.901390644753477,0,10.63264221158958,7.819219641879741,7.860090391039496
8634,Sabanagrande,-,3,3,-,-,-,3,0,25.25465106490445,18.87029815071078,0,0,0,9.389671361502348
8638,Sabanalarga,-,7,7,-,-,-,7,0,21.20633766548517,15.599928686040293,0,0,0,7.71426367353236
