 DIVIPOLA,"SUICIDIOS EN COLOMBIA AÑO 2021

CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - SUICIDIO (CASOS),VIOLENTA - SUICIDIO (CASOS).1,VIOLENTA - SUICIDIO (CASOS).2,VIOLENTA - SUICIDIO (CASOS).3,VIOLENTA - SUICIDIO (CASOS).4,VIOLENTA - SUICIDIO (CASOS).5,VIOLENTA - SUICIDIO (CASOS).6,VIOLENTA - SUICIDIO (TASAS),VIOLENTA - SUICIDIO (TASAS).1,VIOLENTA - SUICIDIO (TASAS).2,VIOLENTA - SUICIDIO (TASAS).3,VIOLENTA - SUICIDIO (TASAS).4,VIOLENTA - SUICIDIO (TASAS).5,VIOLENTA - SUICIDIO (TASAS).6
CÓDIGOS,SEXO,Hombre,Hombre,HOMBRE,Mujer,Mujer,MUJER,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),TOTAL,(TASA X 100.000 HAB.)
5847,Urrao,2,1,3,-,-,-,3,52.0697734964853,9.7551458394303,21.28867442520579,0,0,0,10.588733587462938
5854,Valdivia,-,1,1,-,1,1,2,0,22.547914317925592,15.644555694618273,0,21.50075252633842,15.420200462606013,15.531567911780694
5858,Vegachí,-,1,1,-,-,-,1,0,24.65483234714004,17.946877243359655,0,0,0,8.851124092759779
5887,Yarumal,-,1,1,1,-,1,2,0,6.9046468273147825,5.135843048636433,20.383204239706483,0,4.849190185239065,4.988401965430374
5890,Yolombó,-,5,5,-,-,-,5,0,58.71990604815032,44.401030103898414,0,0,0,22.589681033703805
5893,Yondó,-,1,1,-,-,-,1,0,15.169902912621358,10.833062506770663,0,0,0,5.567308762943993
81,Arauca,1,20,21,4,6,10,31,2.684203462622467,20.379880981495067,15.510632169051119,11.116978405269448,6.025850900362555,7.377242681775259,11.441520910302167
81001,Arauca,1,6,7,2,2,4,11,8.8999644001424,17.970528333533004,15.686626030835424,18.279864729001005,5.793574925407723,8.79855703664599,12.210554359167906
81065,Arauquita,-,2,2,1,-,1,3,0,10.604453870625662,7.4948472924864165,14.019346698443853,0,4.062563477554336,5.847953216374269
81220,Cravo Norte,-,1,1,-,-,-,1,0,66.8002672010688,50.55611729019211,0,0,0,26.26050420168067
81300,Fortul,-,3,3,-,2,2,5,0,46.78727386150967,32.91639236339697,0,30.93580819798917,21.677866897897246,27.262813522355508
81591,Puerto Rondón,-,1,1,-,-,-,1,0,57.4052812858783,43.04778303917348,0,0,0,22.03128442388191
