CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - PRESUNTO HOMICIDIO (CASOS),VIOLENTA - PRESUNTO HOMICIDIO (CASOS).1,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).2,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).3,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).4,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).5,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).6,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).7,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).8,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).9,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).10,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).11,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).12,VIOLENTA - PRESUNTO HOMICIDIO (TASAS),VIOLENTA - PRESUNTO HOMICIDIO (TASAS).1,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).2,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).3,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).4,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).5,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).6,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).7,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).8,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).9,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).10,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).11,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).12
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5059,Armenia,-,3,-,3,-,-,-,-,-,-,-,-,3,0,151.66835187057634,-,116.8679392286716,0,0,-,0,-,-,-,-,58.21851348728896
5079,Barbosa,-,31,-,31,-,2,-,2,-,-,-,-,33,0,148.95252738804535,-,113.01494713816989,0,9.357600711177653,-,7.201757228763819,-,-,-,-,59.781525696998244
5088,Bello,2,51,-,53,1,4,-,5,-,-,-,-,58,2.982003608224366,25.061671367777567,-,19.588493792665034,1.545642832854184,1.773316900596721,-,1.7225697985282364,-,-,-,-,10.341796370029474
5086,Belmira,-,4,-,4,-,1,-,1,-,-,-,-,5,0,187.96992481203006,-,127.59170653907496,0,47.89272030651341,-,32.50975292587776,-,-,-,-,80.50233456770246
5091,Betania,1,15,-,16,1,2,-,3,-,-,-,-,19,62.266500622665006,393.7007874015748,-,295.4209748892172,64.72491909385113,57.42176284811944,-,59.66587112171838,-,-,-,-,181.92263500574492
5093,Betulia,-,23,-,23,1,2,-,3,-,-,-,-,26,0,414.3397586020537,-,278.6527744124061,39.8247710075667,37.18854592785422,-,38.02763341361389,-,-,-,-,161.06052158830454
5107,Briceño,-,3,-,3,1,1,-,2,-,-,-,-,5,0,109.60906101571064,-,69.57328385899814,70.42253521126761,39.77724741447892,-,50.838840874428065,-,-,-,-,60.6354596167839
5113,Buriticá,2,10,-,12,-,-,-,-,-,-,-,-,12,124.53300124533001,286.5329512893983,-,235.47880690737833,0,0,-,0,-,-,-,-,122.66176019625883
5120,Cáceres,1,28,-,29,-,3,-,3,-,-,-,-,32,14.814814814814815,299.9785729590743,-,180.30340711265853,0,34.203625584311936,-,20.34036205844464,-,-,-,-,103.78490578276522
5125,Caicedo,-,1,-,1,-,-,-,-,-,-,-,-,1,0,34.8189415041783,-,23.084025854109,0,0,-,0,-,-,-,-,11.536686663590217
5129,Caldas,-,16,-,16,-,2,-,2,-,-,-,-,18,0,50.5401478299324,-,39.57163702915935,0,5.601770159370361,-,4.514570777183359,-,-,-,-,21.24294852125475
5134,Campamento,-,2,-,2,-,-,-,-,-,-,-,-,2,0,63.95906619763352,-,41.279669762641895,0,0,-,0,-,-,-,-,21.308331557639036
5138,Cañasgordas,-,5,-,5,-,-,-,-,-,-,-,-,5,0,89.42944017170453,-,62.85355122564425,0,0,-,0,-,-,-,-,31.65959602355474
5142,Caracolí,-,1,-,1,-,-,-,-,-,-,-,-,1,0,58.20721769499418,-,43.14063848144953,0,0,-,0,-,-,-,-,21.7296827466319
5147,Carepa,1,19,-,20,-,1,-,1,-,-,-,-,21,10.510826150935465,116.3930409213428,-,77.40537193281214,0,5.865790708587517,-,3.8300969014516064,-,-,-,-,40.425818622827116
5154,Caucasia,4,67,-,71,-,1,-,1,-,-,-,-,72,23.31953594123477,223.1919784136713,-,150.5130161960485,0,3.0176836260486453,-,2.0098482564566376,-,-,-,-,74.28270760469219
