CASOS Y TASAS X 100.00 HABITANTES",VIOLENTA - PRESUNTO HOMICIDIO (CASOS),VIOLENTA - PRESUNTO HOMICIDIO (CASOS).1,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).2,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).3,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).4,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).5,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).6,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).7,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).8,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).9,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).10,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).11,VIOLENTA - PRESUNTO HOMICIDIO (CASOS).12,VIOLENTA - PRESUNTO HOMICIDIO (TASAS),VIOLENTA - PRESUNTO HOMICIDIO (TASAS).1,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).2,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).3,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).4,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).5,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).6,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).7,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).8,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).9,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).10,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).11,VIOLENTA - PRESUNTO HOMICIDIO (TASAS).12
CÓDIGOS,SEXO,Hombre,Hombre,Hombre,HOMBRE,Mujer,Mujer,Mujer,MUJER,Indeterminado,Indeterminado,Indeterminado,INDETERMINADO,TOTAL,Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),Hombre (Tasa x 100.000 Hab.),HOMBRE (TASA X 100.000 HAB.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),Mujer (Tasa x 100.000 Hab.),MUJER (TASA X 100.000 HAB.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),Indeterminado (Tasa x 100.000 Hab.),INDETERMINADO (TASA X 100.000 HAB.),TOTAL
N°,DEPARTAMENTO Y MUNICIPIO DEL HECHO DANE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,Menores de Edad (<18 años),Mayores de Edad (>18 años),Sin información (edad),TOTAL,(TASA X 100.000 HAB.)
5579,Puerto Berrío,2,32,-,34,-,1,-,1,-,-,-,-,35,33.996260411354754,215.72064176890925,-,164.11642612347347,0,6.676458806249166,-,4.847779716889664,-,-,-,-,84.65352521465715
5585,Puerto Nare,-,1,-,1,-,-,-,-,-,-,-,-,1,0,19.4325689856199,-,13.676148796498905,0,0,-,0,-,-,-,-,6.819421713038734
5591,Puerto Triunfo,-,2,-,2,-,-,-,-,-,-,-,-,2,0,26.305405760883865,-,18.942981625307823,0,0,-,0,-,-,-,-,10.379904504878557
5604,Remedios,3,31,-,34,-,4,-,4,-,-,-,-,38,54.112554112554115,326.7284991568297,-,226.1841405002661,0,40.605014719317836,-,26.556898154295578,-,-,-,-,126.27101747856716
5607,Retiro,-,2,-,2,-,-,-,-,-,-,-,-,2,0,21.372088053002777,-,16.294606485253382,0,0,-,0,-,-,-,-,7.953551260637875
5615,Rionegro,-,17,-,17,-,-,-,-,-,-,-,-,17,0,31.10533730993724,-,23.86534330998273,0,0,-,0,-,-,-,-,11.704603351647595
5628,Sabanalarga,-,2,-,2,-,-,-,-,-,-,-,-,2,0,61.633281972265024,-,40.51863857374392,0,0,-,0,-,-,-,-,21.226915729144554
5631,Sabaneta,-,6,-,6,-,-,-,-,-,-,-,-,6,0,18.103370244093774,-,14.423076923076925,0,0,-,0,-,-,-,-,6.7141130656640255
5642,Salgar,-,18,-,18,-,2,-,2,-,-,-,-,20,0,269.0582959641256,-,193.69417841385987,0,30.22061045633122,-,21.619284401686304,-,-,-,-,107.85159620362381
5647,San Andrés de Cuerquía,-,4,-,4,-,-,-,-,-,-,-,-,4,0,161.55088852988692,-,105.45742156604273,0,0,-,0,-,-,-,-,54.09791723018664
5649,San Carlos,-,10,-,10,-,-,-,-,-,-,-,-,10,0,174.39832577607254,-,122.20457045093485,0,0,-,0,-,-,-,-,62.2820129546587
5652,San Francisco,-,3,-,3,-,-,-,-,-,-,-,-,3,0,155.52099533437013,-,100.50251256281408,0,0,-,0,-,-,-,-,50.158836314997494
5656,San Jerónimo,-,3,-,3,-,-,-,-,-,-,-,-,3,0,50.959741803974865,-,37.5,0,0,-,0,-,-,-,-,18.44111138431276
5658,San José de la Montaña,-,2,-,2,-,-,-,-,-,-,-,-,2,0,153.37423312883436,-,107.12372790573112,0,0,-,0,-,-,-,-,52.3149359142035
5660,San Luis,2,11,-,13,-,2,-,2,-,-,-,-,15,85.98452278589853,260.8489447474508,-,198.68561821794287,0,43.73496610540127,-,29.481132075471695,-,-,-,-,112.55346289487505
5664,San Pedro de los Milagros,-,6,-,6,-,-,-,-,-,-,-,-,6,0,75.50969041026933,-,53.54274495805819,0,0,-,0,-,-,-,-,25.81311306143521
5667,San Rafael,1,9,-,10,-,-,-,-,-,-,-,-,10,43.29004329004329,159.54617975536252,-,125.77034335303735,0,0,-,0,-,-,-,-,62.8693574751666
5670,San Roque,-,12,-,12,-,-,-,-,-,-,-,-,12,0,153.47231103721703,-,108.21534854360178,0,0,-,0,-,-,-,-,54.714572314426405
5674,San Vicente Ferrer,-,5,-,5,-,-,-,-,-,-,-,-,5,0,57.964293994899144,-,42.10526315789474,0,0,-,0,-,-,-,-,21.91252519940398
5679,Santa Bárbara,-,6,-,6,-,1,-,1,-,-,-,-,7,0,58.06077027288563,-,43.789227849948915,0,9.197093718384991,-,7.191140514885661,-,-,-,-,25.35496957403651
5042,Santa Fé de Antioquia,-,13,-,13,1,1,-,2,-,-,-,-,15,0,133.60739979445015,-,95.58120726417175,27.33734281027884,9.8405825624877,-,14.47178002894356,-,-,-,-,54.70260019692936
5686,Santa Rosa de Osos,-,13,-,13,-,1,-,1,-,-,-,-,14,0,97.67826282966413,-,68.00941668846455,0,7.330840847445201,-,5.168492867479842,-,-,-,-,36.398616852559606
5690,Santo Domingo,-,7,-,7,-,-,-,-,-,-,-,-,7,0,145.80295771714228,-,107.79180782260548,0,0,-,0,-,-,-,-,55.93288054334798
5736,Segovia,7,43,-,50,-,2,-,2,-,-,-,-,52,101.96649672250545,328.89704757534037,-,250.76483273985656,0,14.728625082848515,-,9.974564859607998,-,-,-,-,130.03250812703175
5756,Sonsón,1,22,-,23,1,1,-,2,-,-,-,-,25,18.32172957127153,165.87499057528464,-,122.85668500614283,19.650225977598744,7.472166180975865,-,10.827197921177998,-,-,-,-,67.21694942596724
5761,Sopetrán,-,10,-,10,-,-,-,-,-,-,-,-,10,0,170.09695526450076,-,126.90355329949237,0,0,-,0,-,-,-,-,63.479972068812295
5789,Támesis,-,1,-,1,1,-,-,1,-,-,-,-,2,0,15.870496746548167,-,12.065637065637066,53.648068669527895,0,-,12.24889759921607,-,-,-,-,12.156576707999028
5790,Tarazá,4,55,-,59,1,4,-,5,-,-,-,-,64,70.10164738871364,658.1309082206534,-,419.5406385550736,18.2882223847842,44.95392222971454,-,34.804399276068494,-,-,-,-,225.12223433817582
5792,Tarso,-,1,-,1,-,-,-,-,-,-,-,-,1,0,43.29004329004329,-,31.695721077654518,0,0,-,0,-,-,-,-,15.802781289506955
5809,Titiribí,-,1,-,1,-,1,-,1,-,-,-,-,2,0,24.20721374969741,-,18.681113394358302,0,23.12673450508788,-,18.076644974692698,-,-,-,-,18.373909049150207
5819,Toledo,-,6,-,6,-,-,-,-,-,-,-,-,6,0,334.44816053511704,-,221.15739034279397,0,0,-,0,-,-,-,-,117.16461628588166
5837,Turbo,3,68,-,71,1,5,-,6,-,-,-,-,77,11.32802174980176,183.55557954974898,-,111.75998362952353,3.899851805631386,11.610356437942645,-,8.732734655857483,-,-,-,-,58.22922653437793
5842,Uramita,1,1,-,2,-,-,-,-,-,-,-,-,2,80.77544426494346,42.3908435777872,-,55.60189046427579,0,0,-,0,-,-,-,-,28.546959748786755
5847,Urrao,-,19,-,19,-,-,-,-,-,-,-,-,19,0,185.3477709491757,-,121.63892445582586,0,0,-,0,-,-,-,-,60.59639610907352
5854,Valdivia,-,27,-,27,-,5,-,5,-,-,-,-,32,0,608.793686583991,-,378.20423028435357,0,107.50376263169211,-,69.61849067112225,-,-,-,-,223.448083234411
5856,Valparaíso,-,2,-,2,-,-,-,-,-,-,-,-,2,0,80.03201280512205,-,59.98800239952009,0,0,-,0,-,-,-,-,30.432136335970785
5858,Vegachí,2,9,-,11,1,2,-,3,-,-,-,-,14,99.8502246630055,221.89349112426035,-,181.54811024921605,56.62514156285391,45.44421722335833,-,48.64601913410086,-,-,-,-,114.51006052674627
5861,Venecia,-,14,-,14,-,3,-,3,-,-,-,-,17,0,313.05903398926654,-,242.25644575186018,0,61.55108740254411,-,49.03563255966002,-,-,-,-,142.89316634445657
5885,Yalí,1,12,-,13,-,-,-,-,-,-,-,-,13,82.44023083264634,426.59082829719165,-,322.9011425732737,0,0,-,0,-,-,-,-,166.66666666666669
5887,Yarumal,2,34,-,36,-,-,-,-,-,-,-,-,36,30.252609287551053,234.7579921287026,-,170.66464397458992,0,0,-,0,-,-,-,-,83.06414397784957
5890,Yolombó,2,24,-,26,1,3,-,4,-,-,-,-,30,54.88474204171241,281.85554903112154,-,213.83337445513612,29.824038174768866,35.89375448671931,-,34.15592178293912,-,-,-,-,125.68077084206116
5893,Yondó,-,10,-,10,-,4,-,4,-,-,-,-,14,0,151.6990291262136,-,95.41984732824427,0,64.87187804086928,-,40.217172732756886,-,-,-,-,68.54009595613434
5895,Zaragoza,1,4,-,5,-,-,-,-,-,-,-,-,5,18.446781036709094,52.882072977260705,-,38.50596842510589,0,0,-,0,-,-,-,-,19.152685206465947
81,Arauca,6,175,-,181,1,8,-,9,-,-,-,-,190,11.380880121396055,178.32395858808187,-,119.98196956037545,1.9668390928938104,8.034467867150074,-,5.983485579799753,-,-,-,-,63.066352441331695
81001,Arauca,2,55,-,57,-,4,-,4,-,-,-,-,61,12.651021569991777,164.7298430573859,-,115.86072321483017,0,11.587149850815447,-,8.00864934128859,-,-,-,-,61.52728886557801
81065,Arauquita,-,31,-,31,1,1,-,2,-,-,-,-,33,0,164.36903499469778,-,103.49202109901849,9.875567845151096,5.720169317011784,-,7.244277021153289,-,-,-,-,57.32948820402349
81220,Cravo Norte,-,5,-,5,-,-,-,-,-,-,-,-,5,0,334.00133600534406,-,225.93764121102575,0,0,-,0,-,-,-,-,117.86892975011787
81300,Fortul,-,13,-,13,-,1,-,1,-,-,-,-,14,0,202.7448533998752,-,126.44684369224784,0,15.467904098994586,-,9.663703131039814,-,-,-,-,67.86562606040042
81591,Puerto Rondón,-,5,-,5,-,-,-,-,-,-,-,-,5,0,287.0264064293915,-,192.75250578257518,0,0,-,0,-,-,-,-,99.28514694201748
81736,Saravena,4,36,-,40,-,-,-,-,-,-,-,-,40,36.330608537693,175.91868647380767,-,127.08902586261675,0,0,-,0,-,-,-,-,61.99628022318661
81794,Tame,-,30,-,30,-,2,-,2,-,-,-,-,32,0,190.19844037278895,-,119.31750387781887,0,12.423131871544816,-,8.001600320064012,-,-,-,-,63.823846184530694
88,"Archipiélago de San Andrés, Providencia y Santa Catalina",2,32,-,34,-,3,-,3,-,-,-,-,37,22.872827081427264,142.53897550111358,-,108.99531961274604,0,11.989928460093521,-,8.961108787860685,-,-,-,-,57.211776348342404
88001,San Andrés,2,32,-,34,-,3,-,3,-,-,-,-,37,25.506950644050505,157.96228650409716,-,121.00074735755722,0,13.245617908075412,-,9.928186120395804,-,-,-,-,63.44742437752932
8,Atlántico,27,667,-,694,4,41,-,45,-,-,-,-,739,6.4697467453579565,71.49165680574849,-,51.39587188949444,0.992400691703282,4.028403190102312,-,3.167149481009772,-,-,-,-,26.66773481950923
8078,Baranoa,-,2,-,2,-,-,-,-,-,-,-,-,2,0,8.454872120059184,-,5.870439402389269,0,0,-,0,-,-,-,-,2.929801945388492
8001,Barranquilla,14,343,-,357,3,22,-,25,-,-,-,-,382,7.765051720790926,77.6668251703915,-,57.40241990593721,1.6953941791466514,4.415835184973314,-,3.7028424499783013,-,-,-,-,29.450720925893656
8141,Candelaria,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,17.568517217146873,-,11.613053071652537,-,-,-,-,5.712327202102136
8296,Galapa,1,7,-,8,-,2,-,2,-,-,-,-,10,8.45594452900389,31.276529198874044,-,23.38702604730026,0,8.635951465952761,-,5.877512636652169,-,-,-,-,14.655235582911995
8372,Juan de Acosta,-,7,-,7,-,-,-,-,-,-,-,-,7,0,84.70474346563407,-,58.38198498748958,0,0,-,0,-,-,-,-,30.219305819374895
8421,Luruaco,-,11,-,11,-,1,-,1,-,-,-,-,12,0,109.37655364422791,-,71.45641158893075,0,9.78760888714887,-,6.464541987200207,-,-,-,-,38.88150860253378
8433,Malambo,1,48,-,49,-,1,-,1,-,-,-,-,50,4.237467689308869,102.317054974101,-,69.49171772180621,0,2.06138813877265,-,1.3969797298241202,-,-,-,-,35.18772652098948
8436,Manatí,1,3,-,4,-,-,-,-,-,-,-,-,4,23.651844843897823,43.346337234503686,-,35.87765718898556,0,0,-,0,-,-,-,-,18.323408153916628
8520,Palmar de Varela,-,3,-,3,-,-,-,-,-,-,-,-,3,0,27.319916218923595,-,18.939393939393938,0,0,-,0,-,-,-,-,9.495473824143826
8549,Piojó,-,2,-,2,-,-,-,-,-,-,-,-,2,0,75.47169811320754,-,52.952078369075984,0,0,-,0,-,-,-,-,27.716186252771617
8558,Polonuevo,-,3,-,3,-,-,-,-,-,-,-,-,3,0,43.84042086804033,-,29.81514609421586,0,0,-,0,-,-,-,-,15.076134479119553
8560,Ponedera,-,2,-,2,-,-,-,-,-,-,-,-,2,0,23.129409043598937,-,14.968939450639922,0,0,-,0,-,-,-,-,7.635336336565626
8573,Puerto Colombia,-,9,-,9,-,-,-,-,-,-,-,-,9,0,48.20825968182549,-,33.88171516771449,0,0,-,0,-,-,-,-,16.47717910693689
8606,Repelón,-,6,-,6,-,1,-,1,-,-,-,-,7,0,64.5647261379533,-,41.95804195804196,0,10.409076714895388,-,6.990074094785405,-,-,-,-,24.47039082709921
8634,Sabanagrande,-,6,-,6,-,-,-,-,-,-,-,-,6,0,49.321824907521574,-,33.74008884890063,0,0,-,0,-,-,-,-,16.797312430011196
8638,Sabanalarga,-,17,-,17,-,1,-,1,-,-,-,-,18,0,50.35246727089628,-,33.65203792782628,0,2.834547464497293,-,1.9483302809492267,-,-,-,-,17.674263326885498
8685,Santo Tomás,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,8.411136344520145,-,6.06134076857801,-,-,-,-,3.069933075458955
8758,Soledad,10,195,-,205,1,11,-,12,-,-,-,-,217,9.390464921918284,87.16174538042749,-,62.081141566201204,0.9876835856864895,4.478645006310818,-,3.4596389866717407,-,-,-,-,32.0498619049729
8832,Tubará,-,3,-,3,-,-,-,-,-,-,-,-,3,0,42.72895598917533,-,30.30915336431602,0,0,-,0,-,-,-,-,15.635586595090425
11,"Bogotá, D.C.",27,1012,-,1039,3,92,-,95,-,-,-,-,1134,2.9975220484399565,35.49874509129877,-,27.695226691694547,0.34506516555651534,2.8631741958292887,-,2.3269382538361416,-,-,-,-,14.475055229228582
11001,"Bogotá, D.C.",27,1012,-,1039,3,92,-,95,-,-,-,-,1134,2.9975220484399565,35.49874509129877,-,27.695226691694547,0.34506516555651534,2.8631741958292887,-,2.3269382538361416,-,-,-,-,14.475055229228582
13,Bolívar,18,379,-,397,3,23,-,26,-,-,-,-,423,4.965941915032734,51.579643596911204,-,36.18119762498234,0.8696257130930847,2.983796686688375,-,2.330154166584514,-,-,-,-,19.11379758623915
13006,Achí,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,13.231013495633764,-,8.415383320710259,-,-,-,-,3.95835807307129
13030,Altos del Rosario,-,1,-,1,-,-,-,-,-,-,-,-,1,0,26.99784017278618,-,16.382699868938403,0,0,-,0,-,-,-,-,8.506294658046954
13042,Arenal,-,2,-,2,-,-,-,-,-,-,-,-,2,0,78.40062720501764,-,49.031625398381955,0,0,-,0,-,-,-,-,25.348542458808616
13052,Arjona,-,11,-,11,-,-,-,-,-,-,-,-,11,0,44.55425493134594,-,29.76915374414766,0,0,-,0,-,-,-,-,14.702147850145016
13074,Barranco de Loba,-,7,-,7,-,1,-,1,-,-,-,-,8,0,146.3516621367343,-,88.91146957957577,0,22.20741727737064,-,13.281976358082083,-,-,-,-,51.94130632385404
13140,Calamar,-,-,-,-,1,-,-,1,-,-,-,-,1,0,0,-,0,26.03488674824265,0,-,8.594757198109154,-,-,-,-,4.267486023983271
13160,Cantagallo,-,2,-,2,-,-,-,-,-,-,-,-,2,0,64.7878198898607,-,42.744176106005554,0,0,-,0,-,-,-,-,22.665457842248415
13001,Cartagena de Indias,13,218,-,231,1,13,-,14,-,-,-,-,245,8.290869201971951,63.06592993317326,-,45.972985398104164,0.6665955631399317,3.321062433419085,-,2.5856162169849126,-,-,-,-,23.46909646852363
13188,Cicuco,-,2,-,2,-,-,-,-,-,-,-,-,2,0,44.208664898320066,-,27.255382938130282,0,0,-,0,-,-,-,-,13.780748294632398
13222,Clemencia,-,1,-,1,-,-,-,-,-,-,-,-,1,0,19.60015680125441,-,12.61193088661874,0,0,-,0,-,-,-,-,6.377144314775843
13212,Córdoba,-,2,-,2,-,-,-,-,-,-,-,-,2,0,33.21707357581797,-,22.519986488008108,0,0,-,0,-,-,-,-,11.966016513102788
13244,El Carmen de Bolívar,1,18,-,19,-,1,-,1,-,-,-,-,20,7.881462799495586,71.11532535261348,-,50.00131582410064,0,4.218519299725796,-,2.8047343916531107,-,-,-,-,27.154358953471007
13430,Magangué,2,17,-,19,-,-,-,-,-,-,-,-,19,8.10011745170305,36.55678128292798,-,26.68764221704076,0,0,-,0,-,-,-,-,13.361556691678564
13433,Mahates,-,4,-,4,-,-,-,-,-,-,-,-,4,0,38.895371450797356,-,26.25705658395694,0,0,-,0,-,-,-,-,13.427775353318339
13440,Margarita,-,1,-,1,-,-,-,-,-,-,-,-,1,0,25.220680958385877,-,16.972165648336727,0,0,-,0,-,-,-,-,8.87154009936125
13442,María la Baja,-,9,-,9,-,1,-,1,-,-,-,-,10,0,58.27128520556814,-,36.365105660834786,0,6.338742393509127,-,4.096010485786843,-,-,-,-,20.34049996948925
13468,Mompós,-,3,-,3,-,1,-,1,-,-,-,-,4,0,19.97469871496105,-,12.854571942754308,0,6.377551020408164,-,4.21123557651815,-,-,-,-,8.495454931611588
13458,Montecristo,-,12,-,12,-,-,-,-,-,-,-,-,12,0,194.30051813471502,-,122.02562538133007,0,0,-,0,-,-,-,-,67.17420510523958
13473,Morales,-,2,-,2,-,-,-,-,-,-,-,-,2,0,24.869435463814973,-,15.914697222885334,0,0,-,0,-,-,-,-,8.44309354947653
13490,Norosí,-,4,-,4,-,-,-,-,-,-,-,-,4,0,120.40939193257074,-,74.54342154304882,0,0,-,0,-,-,-,-,39.603960396039604
13549,Pinillos,-,1,-,1,-,-,-,-,-,-,-,-,1,0,12.106537530266344,-,7.61266747868453,0,0,-,0,-,-,-,-,3.989467804994814
13580,Regidor,1,-,-,1,-,-,-,-,-,-,-,-,1,71.89072609633358,0,-,27.270248159258248,0,0,-,0,-,-,-,-,13.635124079629124
13600,Río Viejo,-,1,-,1,-,-,-,-,-,-,-,-,1,0,26.308866087871614,-,17.36111111111111,0,0,-,0,-,-,-,-,9.18105031215571
13647,San Estanislao,-,2,-,2,-,-,-,-,-,-,-,-,2,0,30.427506465845124,-,20.614306328592043,0,0,-,0,-,-,-,-,10.305559849538827
13650,San Fernando,-,1,-,1,-,-,-,-,-,-,-,-,1,0,23.277467411545622,-,14.695077149155033,0,0,-,0,-,-,-,-,7.567158531971245
13655,San Jacinto del Cauca,-,1,-,1,-,1,-,1,-,-,-,-,2,0,26.838432635534083,-,17.488632388947185,0,31.61555485298767,-,19.67729240456513,-,-,-,-,18.51851851851852
13657,San Juan Nepomuceno,-,3,-,3,1,-,-,1,-,-,-,-,4,0,21.321961620469082,-,15.031566289207335,17.642907551164434,0,-,5.226845076311938,-,-,-,-,10.232796111537477
13667,San Martín de Loba,-,3,-,3,-,-,-,-,-,-,-,-,3,0,62.13753106876553,-,37.84056508577194,0,0,-,0,-,-,-,-,19.84914648670107
13670,San Pablo,-,5,-,5,-,-,-,-,-,-,-,-,5,0,54.99945000549994,-,33.856988082340195,0,0,-,0,-,-,-,-,17.143836790673753
13673,Santa Catalina,-,2,-,2,-,-,-,-,-,-,-,-,2,0,40.69175991861648,-,26.542800265428003,0,0,-,0,-,-,-,-,13.187392852433074
13688,Santa Rosa del Sur,-,11,-,11,-,2,-,2,-,-,-,-,13,0,97.29347249248187,-,61.13148827386907,0,18.745899334520573,-,11.706175007316359,-,-,-,-,37.05920921348955
13683,Santa Rosa,-,5,-,5,-,1,-,1,-,-,-,-,6,0,67.22237160527024,-,44.495861884844714,0,12.993762993762994,-,8.69338433452143,-,-,-,-,26.385224274406333
13744,Simití,-,5,-,5,-,-,-,-,-,-,-,-,5,0,75.68876778686042,-,48.98119122257053,0,0,-,0,-,-,-,-,25.738700710388137
13780,Talaigua Nuevo,-,3,-,3,-,-,-,-,-,-,-,-,3,0,70.60484819957638,-,44.729387207395256,0,0,-,0,-,-,-,-,22.433261048381066
13810,Tiquisio,-,4,-,4,-,1,-,1,-,-,-,-,5,0,67.93478260869566,-,39.46719289590528,0,19.264110961279137,-,10.893246187363834,-,-,-,-,25.88661661920787
13836,Turbaco,1,9,-,10,-,-,-,-,-,-,-,-,10,5.599417660563302,23.108326700387707,-,17.60377424919903,0,0,-,0,-,-,-,-,8.686889745995343
13873,Villanueva,-,5,-,5,-,-,-,-,-,-,-,-,5,0,58.33625014584063,-,38.15920018316416,0,0,-,0,-,-,-,-,19.528198718950165
13894,Zambrano,-,2,-,2,-,-,-,-,-,-,-,-,2,0,44.923629829290206,-,29.97152704930316,0,0,-,0,-,-,-,-,15.997440409534473
15,Boyacá,1,72,-,73,1,11,-,12,-,-,-,-,85,0.5608021714260077,16.430853491556366,-,11.840730816394059,0.595475576569227,2.354321035216362,-,1.8892907130340593,-,-,-,-,6.790900193740388
15047,Aquitania,-,2,-,2,-,-,-,-,-,-,-,-,2,0,36.703982382088455,-,25.040691123075,0,0,-,0,-,-,-,-,12.774655084312725
15097,Boavita,1,1,-,2,-,-,-,-,-,-,-,-,2,153.84615384615384,57.01254275940707,-,83.19467554076539,0,0,-,0,-,-,-,-,41.3992962119644
15104,Boyacá,-,1,-,1,-,-,-,-,-,-,-,-,1,0,52.994170641229466,-,37.4251497005988,0,0,-,0,-,-,-,-,19.40240589833139
15114,Busbanzá,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,228.83295194508008,-,172.41379310344828,-,-,-,-,86.13264427217915
15135,Campohermoso,-,1,-,1,-,-,-,-,-,-,-,-,1,0,91.57509157509158,-,63.371356147021544,0,0,-,0,-,-,-,-,32.43593902043464
15176,Chiquinquirá,-,3,-,3,-,2,-,2,-,-,-,-,5,0,15.547263681592039,-,10.761173685343282,0,8.982708286548394,-,6.562110374696503,-,-,-,-,8.568099252861744
15183,Chita,-,1,-,1,-,1,-,1,-,-,-,-,2,0,38.80481179666278,-,24.850894632206757,0,40.35512510088781,-,26.15062761506276,-,-,-,-,25.484199796126404
15204,Cómbita,-,2,-,2,-,-,-,-,-,-,-,-,2,0,29.278290147855365,-,24.012486492976347,0,0,-,0,-,-,-,-,14.951035359198626
15218,Covarachía,-,2,-,2,-,-,-,-,-,-,-,-,2,0,200.8032128514056,-,141.44271570014143,0,0,-,0,-,-,-,-,73.5023888276369
15223,Cubará,-,2,-,2,-,-,-,-,-,-,-,-,2,0,70.07708479327259,-,36.90717844620779,0,0,-,0,-,-,-,-,18.470631695603988
15226,Cuítiva,-,1,-,1,-,-,-,-,-,-,-,-,1,0,170.35775127768315,-,112.99435028248588,0,0,-,0,-,-,-,-,54.85463521667581
15238,Duitama,-,6,-,6,1,-,-,1,-,-,-,-,7,0,13.622122326658495,-,9.873942665306256,6.382435537401073,0,-,1.4964235477209469,-,-,-,-,5.486237381654022
15299,Garagoa,-,1,-,1,-,-,-,-,-,-,-,-,1,0,15.49426712116517,-,11.392116655274549,0,0,-,0,-,-,-,-,5.41858574911948
15322,Guateque,-,1,-,1,-,-,-,-,-,-,-,-,1,0,25.195263290501387,-,19.215987701767872,0,0,-,0,-,-,-,-,9.106638739641198
15332,Güicán,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,71.12375533428165,-,46.728971962616825,-,-,-,-,23.089355806972986
15368,Jericó,-,1,-,1,-,-,-,-,-,-,-,-,1,0,70.52186177715092,-,49.18839153959665,0,0,-,0,-,-,-,-,25.529742149604292
15507,Otanche,-,2,-,2,-,-,-,-,-,-,-,-,2,0,70.12622720897616,-,48.4613520717228,0,0,-,0,-,-,-,-,24.810817516437165
15516,Paipa,-,3,-,3,-,-,-,-,-,-,-,-,3,0,25.0668449197861,-,17.795705303120183,0,0,-,0,-,-,-,-,8.588359909535942
15531,Pauna,-,1,-,1,-,1,-,1,-,-,-,-,2,0,35.85514521333812,-,26.53927813163482,0,38.834951456310684,-,28.612303290414882,-,-,-,-,27.536830510808205
15542,Pesca,-,1,-,1,-,-,-,-,-,-,-,-,1,0,43.23389537397319,-,29.01915264074289,0,0,-,0,-,-,-,-,14.753614635585718
15572,Puerto Boyacá,-,9,-,9,-,-,-,-,-,-,-,-,9,0,54.26263113469191,-,37.36455349358575,0,0,-,0,-,-,-,-,18.51013944305047
15580,Quípama,-,3,-,3,-,-,-,-,-,-,-,-,3,0,148.8833746898263,-,111.35857461024499,0,0,-,0,-,-,-,-,59.79669124975084
15599,Ramiriquí,-,2,-,2,-,-,-,-,-,-,-,-,2,0,56.561085972850684,-,39.769337840524955,0,0,-,0,-,-,-,-,19.71025918990835
15646,Samacá,-,2,-,2,-,1,-,1,-,-,-,-,3,0,31.88267176789415,-,21.015025743406536,0,15.75795776867318,-,10.595465140919687,-,-,-,-,15.826958586125032
15667,San Luis de Gaceno,-,1,-,1,-,-,-,-,-,-,-,-,1,0,49.28536224741252,-,35.52397868561279,0,0,-,0,-,-,-,-,18.1422351233672
15681,San Pablo de Borbur,-,1,-,1,-,-,-,-,-,-,-,-,1,0,38.109756097560975,-,27.188689505165847,0,0,-,0,-,-,-,-,14.784151389710232
15686,Santana,-,3,-,3,-,-,-,-,-,-,-,-,3,0,105.00525026251313,-,74.81296758104739,0,0,-,0,-,-,-,-,38.6349001931745
15753,Soatá,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,27.909572983533355,-,21.417862497322766,-,-,-,-,11.24353496739375
15757,Socha,-,-,-,-,-,1,-,1,-,-,-,-,1,0,0,-,0,0,34.78260869565218,-,24.4140625,-,-,-,-,12.280486307257766
