Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN MUNICIPAL POR ÁREA.,,,,,,
,,,,,,
PROYECCIONES DE POBLACIÓN A NIVEL MUNICIPAL. PERIODO 1995 - 2004.,,,,,,
,,,,,,
,,,,,,
,,,,,,
DP,DPNOM,DPMP,MPIO,AÑO,ÁREA GEOGRÁFICA,Población
05,Antioquia,05004,Abriaquí,2000,Total,2758
05,Antioquia,05004,Abriaquí,2001,Cabecera Municipal,664
05,Antioquia,05004,Abriaquí,2001,Centros Poblados y Rural Disperso,2061
05,Antioquia,05004,Abriaquí,2001,Total,2725
05,Antioquia,05004,Abriaquí,2002,Cabecera Municipal,681
05,Antioquia,05004,Abriaquí,2002,Centros Poblados y Rural Disperso,2051
05,Antioquia,05004,Abriaquí,2002,Total,2732
05,Antioquia,05004,Abriaquí,2003,Cabecera Municipal,693
05,Antioquia,05004,Abriaquí,2003,Centros Poblados y Rural Disperso,2037
05,Antioquia,05004,Abriaquí,2003,Total,2730
05,Antioquia,05004,Abriaquí,2004,Cabecera Municipal,715
05,Antioquia,05004,Abriaquí,2004,Centros Poblados y Rural Disperso,2017
05,Antioquia,05004,Abriaquí,2004,Total,2732
05,Antioquia,05021,Alejandría,1995,Cabecera Municipal,1863
05,Antioquia,05021,Alejandría,1995,Centros Poblados y Rural Disperso,2952
05,Antioquia,05021,Alejandría,1995,Total,4815
05,Antioquia,05021,Alejandría,1996,Cabecera Municipal,1915
05,Antioquia,05021,Alejandría,1996,Centros Poblados y Rural Disperso,2918
05,Antioquia,05021,Alejandría,1996,Total,4833
05,Antioquia,05021,Alejandría,1997,Cabecera Municipal,1931
05,Antioquia,05021,Alejandría,1997,Centros Poblados y Rural Disperso,2883
05,Antioquia,05021,Alejandría,1997,Total,4814
05,Antioquia,05021,Alejandría,1998,Cabecera Municipal,1961
05,Antioquia,05021,Alejandría,1998,Centros Poblados y Rural Disperso,2853
05,Antioquia,05021,Alejandría,1998,Total,4814
05,Antioquia,05021,Alejandría,1999,Cabecera Municipal,2004
05,Antioquia,05021,Alejandría,1999,Centros Poblados y Rural Disperso,2829
05,Antioquia,05021,Alejandría,1999,Total,4833
05,Antioquia,05021,Alejandría,2000,Cabecera Municipal,2018
05,Antioquia,05021,Alejandría,2000,Centros Poblados y Rural Disperso,2775
05,Antioquia,05021,Alejandría,2000,Total,4793
05,Antioquia,05021,Alejandría,2001,Cabecera Municipal,2040
05,Antioquia,05021,Alejandría,2001,Centros Poblados y Rural Disperso,2745
05,Antioquia,05021,Alejandría,2001,Total,4785
05,Antioquia,05021,Alejandría,2002,Cabecera Municipal,2065
05,Antioquia,05021,Alejandría,2002,Centros Poblados y Rural Disperso,2696
05,Antioquia,05021,Alejandría,2002,Total,4761
05,Antioquia,05021,Alejandría,2003,Cabecera Municipal,2077
05,Antioquia,05021,Alejandría,2003,Centros Poblados y Rural Disperso,2669
05,Antioquia,05021,Alejandría,2003,Total,4746
05,Antioquia,05021,Alejandría,2004,Cabecera Municipal,2125
