Departamento , MUNICIPIO DEL HECHO DANE,CÓDIGOS DIVIPOLA,SEXO,VARIABLE / MAYOR DE EDAD (> 18 AÑOS) O MENOR DE EDAD (< 18 AÑOS),Brasil,Chile,Colombia,Cuba,Ecuador,España,Estados Unidos,Italia,México,Reino Unido,Venezuela,TOTAL
Antioquia , Anorí,5040.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Anorí,5040.0,TOTAL,,0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Apartadó,5045.0,Hombre,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Apartadó,5045.0,Hombre,Mayores de Edad (>18 años),0,0,4,0,0,0,0,0,0,0,0,4
Antioquia , Apartadó,5045.0,HOMBRE,TOTAL,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Apartadó,5045.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Apartadó,5045.0,TOTAL,,0,0,5,0,0,0,0,0,0,0,0,5
Antioquia , Arboletes,5051.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Arboletes,5051.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Arboletes,5051.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Arboletes,5051.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Armenia,5059.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Armenia,5059.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Armenia,5059.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Armenia,5059.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Armenia,5059.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Armenia,5059.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Armenia,5059.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Barbosa,5079.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Barbosa,5079.0,Hombre,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Barbosa,5079.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Barbosa,5079.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Barbosa,5079.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Barbosa,5079.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Barbosa,5079.0,TOTAL,,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Bello,5088.0,Hombre,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Bello,5088.0,Hombre,Mayores de Edad (>18 años),0,0,28,0,0,0,0,0,1,0,0,29
Antioquia , Bello,5088.0,HOMBRE,TOTAL,0,0,28,0,0,0,0,0,1,0,0,29
Antioquia , Bello,5088.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,1,1
Antioquia , Bello,5088.0,Mujer,Mayores de Edad (>18 años),0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Bello,5088.0,MUJER,TOTAL,0,0,2,0,0,0,0,0,0,0,1,3
Antioquia , Bello,5088.0,TOTAL,,0,0,30,0,0,0,0,0,1,0,1,32
Antioquia , Betania,5091.0,Hombre,Menores de Edad (<18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Betania,5091.0,Hombre,Mayores de Edad (>18 años),0,0,1,0,0,0,0,0,0,0,0,1
Antioquia , Betania,5091.0,HOMBRE,TOTAL,0,0,2,0,0,0,0,0,0,0,0,2
Antioquia , Betania,5091.0,Mujer,Menores de Edad (<18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Betania,5091.0,Mujer,Mayores de Edad (>18 años),0,0,0,0,0,0,0,0,0,0,0,0
Antioquia , Betania,5091.0,MUJER,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0
